PMID,Study_Type,variable,section,r1,r2,adjTA,adjYA,p2,final,source,status,phase1,verdict
STUDY-0400,Causal,recusal,Shared,"No, I do not wish to recuse myself.","No, I do not wish to recuse myself.",NA,NA,NA,"No, I do not wish to recuse myself.",agreed,Reviewers agreed,NA,NA
STUDY-0400,Causal,task,Shared,Causal,Causal,NA,NA,NA,Causal,agreed,Reviewers agreed,NA,NA
STUDY-0400,Causal,descriptive_design,Descriptive,NA,NA,NA,NA,NA,,agreed,Not applicable to either reviewer,NA,NA
STUDY-0400,Causal,descriptive_pop,Descriptive,NA,NA,NA,NA,NA,,agreed,Not applicable to either reviewer,NA,NA
STUDY-0400,Causal,descriptive_sampling,Descriptive,NA,NA,NA,NA,NA,,agreed,Not applicable to either reviewer,NA,NA
STUDY-0400,Causal,descriptive_sample_size,Descriptive,NA,NA,NA,NA,NA,,agreed,Not applicable to either reviewer,NA,NA
STUDY-0400,Causal,descriptive_acc_sampl,Descriptive,NA,NA,NA,NA,NA,,agreed,Not applicable to either reviewer,NA,NA
STUDY-0400,Causal,descriptive_sample_ach,Descriptive,NA,NA,NA,NA,NA,,agreed,Not applicable to either reviewer,NA,NA
STUDY-0400,Causal,descriptive_base_sel,Descriptive,NA,NA,NA,NA,NA,,agreed,Not applicable to either reviewer,NA,NA
STUDY-0400,Causal,descriptive_outcome_type,Descriptive,NA,NA,NA,NA,NA,,agreed,Not applicable to either reviewer,NA,NA
STUDY-0400,Causal,descriptive_val_outcome,Descriptive,NA,NA,NA,NA,NA,,agreed,Not applicable to either reviewer,NA,NA
STUDY-0400,Causal,descriptive_out_bias_acc,Descriptive,NA,NA,NA,NA,NA,,agreed,Not applicable to either reviewer,NA,NA
STUDY-0400,Causal,descriptive_miss_outcome,Descriptive,NA,NA,NA,NA,NA,,agreed,Not applicable to either reviewer,NA,NA
STUDY-0400,Causal,descriptive_hand_miss_outcom,Descriptive,NA,NA,NA,NA,NA,,agreed,Not applicable to either reviewer,NA,NA
STUDY-0400,Causal,descriptive_err_disc,Descriptive,NA,NA,NA,NA,NA,,agreed,Not applicable to either reviewer,NA,NA
STUDY-0400,Causal,descriptive_confl_task,Descriptive,NA,NA,NA,NA,NA,,agreed,Not applicable to either reviewer,NA,NA
STUDY-0400,Causal,predictive_design,Predictive,NA,NA,NA,NA,NA,,agreed,Not applicable to either reviewer,NA,NA
STUDY-0400,Causal,predictive_pop,Predictive,NA,NA,NA,NA,NA,,agreed,Not applicable to either reviewer,NA,NA
STUDY-0400,Causal,causal_design,Causal,Cross-sectional,Cross-sectional,NA,NA,NA,Cross-sectional,agreed,Reviewers agreed,NA,NA
STUDY-0400,Causal,causal_pop,Causal,No,No,NA,NA,NA,No,agreed,Reviewers agreed,NA,NA
STUDY-0400,Causal,causal_sampling,Causal,Non-random,Non-random,NA,NA,NA,Non-random,agreed,Reviewers agreed,NA,NA
STUDY-0400,Causal,causal_sample_size,Causal,No,No,NA,NA,NA,No,agreed,Reviewers agreed,NA,NA
STUDY-0400,Causal,causal_acc_sampl,Causal,NA,NA,NA,NA,NA,,agreed,Not applicable to either reviewer,NA,NA
STUDY-0400,Causal,causal_sample_ach,Causal,NA,NA,NA,NA,NA,,agreed,Not applicable to either reviewer,NA,NA
STUDY-0400,Causal,causal_base_sel,Causal,No,No,NA,NA,NA,No,agreed,Reviewers agreed,NA,NA
STUDY-0400,Causal,causal_comp_dis,Causal,No,No,NA,NA,NA,No,agreed,Reviewers agreed,NA,NA
STUDY-0400,Causal,causal_follow,Causal,No,No,NA,NA,NA,No,agreed,Reviewers agreed,NA,NA
STUDY-0400,Causal,causal_ltfu_bias,Causal,NA,NA,NA,NA,NA,,agreed,Not applicable to either reviewer,NA,NA
