PMID,Study_Type,variable,final,source,resolution_note
STUDY-0400,Causal,causal_acc_sampl,,agreed,
STUDY-0400,Causal,causal_base_conf_meth,No adjustment for baseline confounding was done,phaseII,
STUDY-0400,Causal,causal_base_sel,No,agreed,
STUDY-0400,Causal,causal_comp_dis,No,agreed,
STUDY-0400,Causal,causal_conf_var_det,No adjustment for baseline and time-varying confounding was done,phase2-normalised,carried forward from 07_16 dataset
STUDY-0400,Causal,causal_dep_or_indep_misc,Dependent,agreed,
STUDY-0400,Causal,causal_design,Cross-sectional,agreed,
STUDY-0400,Causal,causal_diff_or_nondiff_exp,Differential with respect to the outcome,agreed,
STUDY-0400,Causal,causal_diff_or_nondiff_out,Differential with respect to the exposure,agreed,
STUDY-0400,Causal,causal_err_disc,Selection bias;Measurement bias;Confounding bias,TA=YA,
STUDY-0400,Causal,causal_exp_bias_acc,No,agreed,
STUDY-0400,Causal,causal_exposure_type,Subjective,agreed,
STUDY-0400,Causal,causal_follow,No,agreed,
STUDY-0400,Causal,causal_hand_miss_exposure,,agreed,
STUDY-0400,Causal,causal_hand_miss_outcom,,agreed,
STUDY-0400,Causal,causal_ltfu_acc,,agreed,
STUDY-0400,Causal,causal_ltfu_bias,,agreed,
STUDY-0400,Causal,causal_miss_exposure,Not reported or unknown,agreed,
STUDY-0400,Causal,causal_miss_outcome,Not reported or unknown,agreed,
STUDY-0400,Causal,causal_out_bias_acc,No,agreed,
STUDY-0400,Causal,causal_outcome_type,Subjective,agreed,
STUDY-0400,Causal,causal_pop,No,agreed,
STUDY-0400,Causal,causal_sample_ach,,agreed,
STUDY-0400,Causal,causal_sample_size,No,agreed,
STUDY-0400,Causal,causal_sampling,Non-random,agreed,
STUDY-0400,Causal,causal_time_verying,No,agreed,
STUDY-0400,Causal,causal_tv_conf_meth,,agreed,
STUDY-0400,Causal,causal_val_exposure,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",agreed,
STUDY-0400,Causal,causal_val_outcome,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",agreed,
STUDY-0400,Causal,descriptive_acc_sampl,,agreed,
STUDY-0400,Causal,descriptive_base_sel,,agreed,
STUDY-0400,Causal,descriptive_confl_task,,agreed,
STUDY-0400,Causal,descriptive_design,,agreed,
STUDY-0400,Causal,descriptive_err_disc,,agreed,
STUDY-0400,Causal,descriptive_hand_miss_outcom,,agreed,
STUDY-0400,Causal,descriptive_miss_outcome,,agreed,
STUDY-0400,Causal,descriptive_out_bias_acc,,agreed,
STUDY-0400,Causal,descriptive_outcome_type,,agreed,
STUDY-0400,Causal,descriptive_pop,,agreed,
STUDY-0400,Causal,descriptive_sample_ach,,agreed,
STUDY-0400,Causal,descriptive_sample_size,,agreed,
STUDY-0400,Causal,descriptive_sampling,,agreed,
STUDY-0400,Causal,descriptive_val_outcome,,agreed,
STUDY-0400,Causal,predictive_design,,agreed,
STUDY-0400,Causal,predictive_pop,,agreed,
STUDY-0400,Causal,recusal,"No, I do not wish to recuse myself.",agreed,
STUDY-0400,Causal,task,Causal,agreed,
STUDY-1007,Descriptive,causal_acc_sampl,,agreed,
STUDY-1007,Descriptive,causal_base_conf_meth,,agreed,
STUDY-1007,Descriptive,causal_base_sel,,agreed,
STUDY-1007,Descriptive,causal_comp_dis,,agreed,
STUDY-1007,Descriptive,causal_conf_var_det,,agreed,
STUDY-1007,Descriptive,causal_dep_or_indep_misc,,agreed,
STUDY-1007,Descriptive,causal_design,,agreed,
STUDY-1007,Descriptive,causal_diff_or_nondiff_exp,,agreed,
STUDY-1007,Descriptive,causal_diff_or_nondiff_out,,agreed,
STUDY-1007,Descriptive,causal_err_disc,,agreed,
STUDY-1007,Descriptive,causal_exp_bias_acc,,agreed,
STUDY-1007,Descriptive,causal_exposure_type,,agreed,
STUDY-1007,Descriptive,causal_follow,,agreed,
