PMID,Study_Type,first_author_saudi,last_author_saudi,corresponding_author_saudi,pct_saudi_ge50,causal_acc_sampl,causal_base_conf_meth,causal_base_sel,causal_comp_dis,causal_conf_var_det,causal_dep_or_indep_misc,causal_design,causal_diff_or_nondiff_exp,causal_diff_or_nondiff_out,causal_err_disc,causal_exp_bias_acc,causal_exposure_type,causal_follow,causal_hand_miss_exposure,causal_hand_miss_outcom,causal_ltfu_acc,causal_ltfu_bias,causal_miss_exposure,causal_miss_outcome,causal_out_bias_acc,causal_outcome_type,causal_pop,causal_sample_ach,causal_sample_size,causal_sampling,causal_time_verying,causal_tv_conf_meth,causal_val_exposure,causal_val_outcome,descriptive_acc_sampl,descriptive_base_sel,descriptive_confl_task,descriptive_design,descriptive_err_disc,descriptive_hand_miss_outcom,descriptive_miss_outcome,descriptive_out_bias_acc,descriptive_outcome_type,descriptive_pop,descriptive_sample_ach,descriptive_sample_size,descriptive_sampling,descriptive_val_outcome,predictive_design,predictive_pop,recusal,task
STUDY-0400,Causal,0,0,0,<50%,,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Dependent,Cross-sectional,Differential with respect to the outcome,Differential with respect to the exposure,Selection bias;Measurement bias;Confounding bias,No,Subjective,No,,,,,Not reported or unknown,Not reported or unknown,No,Subjective,No,,No,Non-random,No,,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-1007,Descriptive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Cross-sectional,Random error;Selection bias,,Not reported or unknown,No,Subjective,Yes,,No,Non-random,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0995,Causal,1,1,1,>=50%,,Regression,No baseline selection bias from investigator,skipped,Based on statistical criteria,Independent,Cohort (including clinical trials without randomization),Non-differential with respect to the outcome,Non-differential with respect to the exposure,Measurement bias,No,Objective,Yes,,,,Not reported or unknown,Not reported or unknown,Not reported or unknown,No,Objective,Yes,,,Whole population was invited (no sample was taken),No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","This type of objective measurement does not usually require validation (e.g., surgical intervention)",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0455,Predictive,1,0,0,<50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diagnostic,No,"No, I do not wish to recuse myself.",Predictive
STUDY-0405,Causal,1,1,1,>=50%,,Matching;Regression,No,No,Based on none of the above,Dependent,Case-control,Non-differential with respect to the outcome,Non-differential with respect to the exposure,Selection bias,No,Objective,No,,,,,No,No,No,Objective,Yes,,No,Non-random,No,,No,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0531,Descriptive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,Cross-sectional,Selection bias,,No,No,Objective,Yes,,No,Non-random,No,,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0106,Descriptive,1,1,1,>=50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,Cross-sectional,Random error;Selection bias,,No,No,Subjective,Yes,,No,Non-random,No,,,"No, I do not wish to recuse myself.",Descriptive
STUDY-0527,Causal,1,1,1,>=50%,Yes,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Dependent,Cross-sectional,Differential with respect to the outcome,Non-differential with respect to the exposure,Selection bias,No,Subjective,No,,,,,No,No,No,Subjective,Yes,Yes,Yes,Non-random,No,,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0436,Causal,1,1,1,>=50%,,Matching,No,No,Based on none of the above,Dependent,Cross-sectional,Non-differential with respect to the outcome,Non-differential with respect to the exposure,None of the above,No,Objective,No,,,,,No,Not reported or unknown,No,Subjective,Yes,,No,Non-random,No,,No,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
STUDY-0427,Causal,1,1,1,>=50%,,No adjustment for baseline confounding was done,No,No,No adjustment for baseline and time-varying confounding was done,Independent,Cross-sectional,Differential with respect to the outcome,Differential with respect to the exposure,Random error;Measurement bias,No,Objective,No,,,,,Not reported or unknown,Not reported or unknown,No,Objective,Yes,,No,Non-random,No,,"This type of objective measurement does not usually require validation (e.g., surgical intervention)","Yes, the authors conducted content/face validity or cited the content/face validity from other studies",,,,,,,,,,,,,,,,,"No, I do not wish to recuse myself.",Causal
