PMID,funding_3level,funding_level_firstpass,three_level_basis,confidence,basis,declared_no_funding,self_funded,oa_agreement_only,statement_source,apc_only,funding_3level_machine,funding_6level_machine,adjudicated,changed
STUDY-0400,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,international,0,0
STUDY-1007,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0995,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0455,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,sentence,0,non_funded,declared_none,0,0
STUDY-0405,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0531,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,sentence,0,non_funded,declared_none,0,0
STUDY-0106,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,sentence,0,non_funded,declared_none,0,0
STUDY-0527,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,sentence,0,funded,local,0,0
STUDY-0436,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0427,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0837,funded,local,from local,medium,funder(s) named only outside a funding statement (acknowledgement/sentence),0,0,0,funding,0,funded,local,0,0
STUDY-0445,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,sentence,0,non_funded,declared_none,0,0
STUDY-0172,non_funded,declared_none,from declared_none,low,funding statement explicitly declares no funding; a funder name appears elsewhere in the paper -- check,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0177,non_funded,declared_none,from declared_none,high,funding statement explicitly declares no funding,1,0,0,funding,0,non_funded,declared_none,0,0
STUDY-0393,funded,international,from international,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,international,0,0
STUDY-0843,funded,local,from local,high,funder(s) named in the paper's own funding statement,0,0,0,funding,0,funded,local,0,0
STUDY-0774,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0880,not_stated,not_stated,from not_stated,high,no funding statement anywhere in the full text,0,0,0,,0,not_stated,not_stated,0,0
STUDY-0914,not_stated,needs_review,from needs_review: statement present but states no research funding,low,statement present but no funder resolved,0,0,0,financial_support,0,not_stated,needs_review,0,0
