is_first,is_last,inst_type,institution,city
True,False,University,Jazan University,Jazan
False,False,University,Jazan University,Jazan
False,False,University,Jazan University,Jazan
False,False,University,King Saud University,Riyadh
False,False,University,King Saud University,Riyadh
False,False,University,Umm Al-Qura University,Makkah
False,False,University,Umm Al-Qura University,Makkah
False,False,University,Umm Al-Qura University,Makkah
True,False,University,Jouf University,Sakaka
False,False,University,Jouf University,Sakaka
False,False,University,University of Hail,Hail
False,False,University,Jouf University,Sakaka
False,True,University,Jouf University,Sakaka
True,False,University,King Saud University,Riyadh
False,False,University,King Saud University,Riyadh
False,True,University,King Saud University,Riyadh
False,False,University,Other institutions (fewer than 5 papers each),Buraidah
False,False,Military & security-forces medical,Armed Forces Hospital,Jeddah
True,False,University,King Saud bin Abdulaziz University for Health Sciences,Unspecified
False,False,University,King Saud bin Abdulaziz University for Health Sciences,Unspecified
False,False,University,King Saud bin Abdulaziz University for Health Sciences,Unspecified
False,False,University,King Saud bin Abdulaziz University for Health Sciences,Unspecified
False,False,University,King Saud bin Abdulaziz University for Health Sciences,Unspecified
False,False,University,King Saud bin Abdulaziz University for Health Sciences,Unspecified
False,False,University,King Saud bin Abdulaziz University for Health Sciences,Unspecified
False,False,University,King Saud bin Abdulaziz University for Health Sciences,Riyadh
False,False,University,King Saud bin Abdulaziz University for Health Sciences,Unspecified
False,False,University,King Saud bin Abdulaziz University for Health Sciences,Unspecified
False,False,University,King Saud bin Abdulaziz University for Health Sciences,Unspecified
False,False,University,King Saud bin Abdulaziz University for Health Sciences,Unspecified
False,True,University,King Saud bin Abdulaziz University for Health Sciences,Riyadh
False,False,Hospital & research centre,King Faisal Specialist Hospital & Research Centre,Jeddah
False,False,University,Alfaisal University,Riyadh
True,True,University,King Saud University,Riyadh
True,False,University,King Saud University,Riyadh
False,False,University,King Saud University,Riyadh
False,True,Research centre / institute,Other institutions (fewer than 5 papers each),Riyadh
True,False,University,Jouf University,Sakaka
False,False,University,Jouf University,Sakaka
False,False,University,Jouf University,Sakaka
False,False,University,Jouf University,Sakaka
False,False,Ministry of Health,Ministry of Health,Tabuk
False,False,University,Jouf University,Sakaka
False,True,Ministry of Health,Ministry of Health,Tabuk
False,False,University,Imam Abdulrahman Bin Faisal University,Dammam
False,False,University,Taif University,Taif
False,False,University,Taif University,Taif
False,False,University,Taif University,Taif
True,False,University,King Saud bin Abdulaziz University for Health Sciences,Riyadh
False,False,Hospital / medical city,King Abdullah Medical City,Riyadh
False,False,University,King Saud bin Abdulaziz University for Health Sciences,Riyadh
False,False,Hospital / medical city,King Abdullah Medical City,Riyadh
False,False,University,King Saud bin Abdulaziz University for Health Sciences,Riyadh
False,False,University,King Saud bin Abdulaziz University for Health Sciences,Riyadh
False,True,University,King Saud bin Abdulaziz University for Health Sciences,Riyadh
True,False,University,Princess Nourah Bint Abdulrahman University,Riyadh
False,False,Hospital / medical city,King Abdulaziz Medical City,Riyadh
False,False,University,Princess Nourah Bint Abdulrahman University,Riyadh
False,True,Hospital & research centre,King Faisal Specialist Hospital & Research Centre,Riyadh
True,False,Military & security-forces medical,Armed Forces Hospital,Jeddah
False,False,Hospital / medical city,Other institutions (fewer than 5 papers each),Riyadh
False,False,University,King Saud University,Riyadh
False,False,University,King Saud University,Riyadh
False,False,Military & security-forces medical,Other institutions (fewer than 5 papers each),Dhahran
False,False,Hospital / medical city,Other institutions (fewer than 5 papers each),Other cities (fewer than 5 appearances each)
False,True,Military & security-forces medical,Armed Forces Hospital,Jeddah
True,False,University,King Faisal University,Al-Ahsa
False,False,University,King Faisal University,Al-Ahsa
False,True,University,King Faisal University,Al-Ahsa
False,False,University,Jouf University,Sakaka
False,False,University,Jouf University,Sakaka
True,False,University,King Saud University,Riyadh
False,False,University,King Saud University,Riyadh
False,False,University,King Saud University,Riyadh
False,True,University,King Saud University,Riyadh
True,False,University,Prince Sattam Bin Abdulaziz University,Al-Kharj
True,False,University,Umm Al-Qura University,Makkah
False,False,University,Umm Al-Qura University,Unspecified
False,False,Ministry of Health,Ministry of Health,Makkah
False,False,University,Umm Al-Qura University,Unspecified
False,False,University,Umm Al-Qura University,Unspecified
False,False,Hospital / medical city,Other institutions (fewer than 5 papers each),Makkah
False,False,University,Umm Al-Qura University,Unspecified
False,False,University,Umm Al-Qura University,Unspecified
False,False,University,Umm Al-Qura University,Unspecified
False,False,University,Umm Al-Qura University,Unspecified
False,True,University,Umm Al-Qura University,Unspecified
True,False,University,King Khalid University,Abha
False,False,University,King Khalid University,Abha
False,False,University,King Khalid University,Abha
False,False,University,King Khalid University,Abha
False,False,University,King Khalid University,Abha
False,False,University,King Khalid University,Abha
False,True,University,King Khalid University,Abha
False,False,Other sectors,Other institutions (fewer than 5 papers each),Riyadh
False,False,University,Other institutions (fewer than 5 papers each),Riyadh
False,False,University,Taif University,Taif
False,False,University,Taif University,Taif
True,True,University,King Abdulaziz University,Jeddah
False,False,University,Jazan University,Jazan
False,False,University,Prince Sattam Bin Abdulaziz University,Al-Kharj
True,False,University,Prince Sattam Bin Abdulaziz University,Al-Kharj
False,False,University,Prince Sattam Bin Abdulaziz University,Al-Kharj
False,False,University,Prince Sattam Bin Abdulaziz University,Al-Kharj
False,False,University,Prince Sattam Bin Abdulaziz University,Al-Kharj
False,False,University,Prince Sattam Bin Abdulaziz University,Al-Kharj
False,False,University,Taibah University,Unspecified
False,False,University,Prince Sattam Bin Abdulaziz University,Al-Kharj
False,False,University,Prince Sattam Bin Abdulaziz University,Al-Kharj
False,False,University,Prince Sattam Bin Abdulaziz University,Al-Kharj
False,True,University,Other institutions (fewer than 5 papers each),Qassim
True,False,University,King Khalid University,Other cities (fewer than 5 appearances each)
False,True,University,King Khalid University,Other cities (fewer than 5 appearances each)
True,False,University,Jazan University,Jazan
False,False,University,Jazan University,Jazan
False,False,Ministry of Health,Ministry of Health,Riyadh
False,False,University,Jouf University,Unspecified
False,False,University,Jouf University,Sakaka
False,False,University,Jouf University,Sakaka
False,False,University,Jouf University,Sakaka
False,False,University,Jouf University,Sakaka
False,False,University,Qassim University,Buraidah
False,True,University,Qassim University,Buraidah
True,False,University,Prince Sattam Bin Abdulaziz University,Al-Kharj
False,False,University,Prince Sattam Bin Abdulaziz University,Al-Kharj
False,False,University,Prince Sattam Bin Abdulaziz University,Al-Kharj
False,False,University,Prince Sattam Bin Abdulaziz University,Al-Kharj
False,False,University,Prince Sattam Bin Abdulaziz University,Al-Kharj
False,True,University,Prince Sattam Bin Abdulaziz University,Al-Kharj
False,False,University,Prince Sattam Bin Abdulaziz University,Al-Kharj
True,False,University,Prince Sattam Bin Abdulaziz University,Al-Kharj
False,False,University,Prince Sattam Bin Abdulaziz University,Al-Kharj
False,False,University,Prince Sattam Bin Abdulaziz University,Al-Kharj
True,False,Hospital / medical city,Other institutions (fewer than 5 papers each),Other cities (fewer than 5 appearances each)
False,False,University,Other institutions (fewer than 5 papers each),Jeddah
True,False,University,King Abdulaziz University,Jeddah
True,True,University,Qassim University,Buraidah
True,False,Hospital & research centre,King Faisal Specialist Hospital & Research Centre,Riyadh
False,False,Hospital & research centre,King Faisal Specialist Hospital & Research Centre,Riyadh
False,False,Hospital & research centre,King Faisal Specialist Hospital & Research Centre,Riyadh
False,False,Hospital & research centre,King Faisal Specialist Hospital & Research Centre,Riyadh
False,False,Hospital & research centre,King Faisal Specialist Hospital & Research Centre,Riyadh
False,False,Hospital & research centre,King Faisal Specialist Hospital & Research Centre,Riyadh
False,True,Hospital & research centre,King Faisal Specialist Hospital & Research Centre,Riyadh
True,False,University,King Abdulaziz University,Jeddah
True,False,University,Jouf University,Sakaka
True,False,University,Imam Abdulrahman Bin Faisal University,Dammam
False,False,Company / industry,Johns Hopkins Aramco Healthcare / Saudi Aramco,Dhahran
False,False,Company / industry,Johns Hopkins Aramco Healthcare / Saudi Aramco,Dhahran
False,False,University,Imam Abdulrahman Bin Faisal University,Dammam
False,False,University,Imam Abdulrahman Bin Faisal University,Dammam
False,False,University,Imam Abdulrahman Bin Faisal University,Dammam
False,False,Hospital / medical city,Other institutions (fewer than 5 papers each),Al-Ahsa
False,False,Ministry of Health,Ministry of Health,Al-Ahsa
False,False,Company / industry,Johns Hopkins Aramco Healthcare / Saudi Aramco,Dhahran
False,True,University,Alfaisal University,Riyadh
True,True,University,Imam Abdulrahman Bin Faisal University,Dammam
True,False,University,King Saud University,Unspecified
False,False,University,King Saud University,Unspecified
False,False,University,King Saud University,Unspecified
False,False,University,King Saud University,Unspecified
False,True,University,King Saud University,Unspecified
True,False,University,King Saud University,Riyadh
False,False,University,King Saud University,Riyadh
False,False,University,King Saud University,Riyadh
True,False,University,Other institutions (fewer than 5 papers each),Riyadh
False,False,University,Other institutions (fewer than 5 papers each),Riyadh
False,False,University,Other institutions (fewer than 5 papers each),Riyadh
False,False,University,Other institutions (fewer than 5 papers each),Riyadh
False,False,University,Other institutions (fewer than 5 papers each),Riyadh
False,False,University,Other institutions (fewer than 5 papers each),Riyadh
False,True,University,Other institutions (fewer than 5 papers each),Riyadh
True,True,University,King Saud University,Riyadh
True,False,University,Prince Sattam Bin Abdulaziz University,Al-Kharj
False,False,University,Prince Sattam Bin Abdulaziz University,Al-Kharj
False,False,University,Prince Sattam Bin Abdulaziz University,Al-Kharj
False,False,University,Prince Sattam Bin Abdulaziz University,Al-Kharj
False,False,University,Prince Sattam Bin Abdulaziz University,Al-Kharj
False,False,University,Prince Sattam Bin Abdulaziz University,Al-Kharj
False,False,University,Prince Sattam Bin Abdulaziz University,Al-Kharj
False,False,University,Other institutions (fewer than 5 papers each),Riyadh
False,False,University,Prince Sattam Bin Abdulaziz University,Al-Kharj
True,False,University,University of Hail,Hail
False,False,University,University of Hail,Hail
False,False,University,University of Hail,Hail
False,False,University,University of Hail,Hail
False,False,University,University of Hail,Hail
