PMID,n_sectors,lead_saudi_type,multisector,multisector_union,health_system,health_system_union
STUDY-0400,1,Hospital / medical city,False,False,True,True
STUDY-1007,2,University,True,True,True,True
STUDY-0995,1,Hospital / medical city,False,False,True,True
STUDY-0455,1,Military & security-forces medical,False,False,True,True
STUDY-0405,1,University,False,False,False,False
STUDY-0531,1,Hospital & research centre,False,False,True,True
STUDY-0106,1,University,False,False,False,False
STUDY-0527,2,University,True,True,True,True
STUDY-0436,2,University,True,True,True,True
STUDY-0427,1,University,False,False,False,False
STUDY-0837,1,University,False,False,False,False
STUDY-0445,3,Hospital / medical city,True,True,True,True
STUDY-0172,1,University,False,False,False,False
STUDY-0177,1,University,False,False,False,False
STUDY-0393,1,Hospital & research centre,False,False,True,True
STUDY-0843,1,University,False,False,False,False
STUDY-0774,1,University,False,False,False,False
STUDY-0880,3,Hospital / medical city,True,True,True,True
STUDY-0914,1,Hospital / medical city,False,False,True,True
STUDY-0250,1,University,False,False,False,False
STUDY-0104,1,University,False,False,False,False
STUDY-0537,1,Hospital / medical city,False,False,True,True
STUDY-0658,1,Hospital / medical city,False,False,True,True
STUDY-0737,1,Hospital & research centre,False,False,True,True
STUDY-0220,1,University,False,False,False,False
STUDY-0994,1,University,False,False,False,False
STUDY-0499,1,University,False,False,False,False
STUDY-0350,2,Other sectors,True,True,False,False
STUDY-0354,1,University,False,False,False,False
STUDY-0839,1,University,False,False,False,False
STUDY-0750,3,University,True,True,True,True
STUDY-0259,1,University,False,False,False,False
STUDY-0707,1,Hospital / medical city,False,False,True,True
STUDY-0431,1,University,False,False,False,False
STUDY-0821,2,University,True,True,True,True
STUDY-1022,2,Hospital / medical city,True,True,True,True
STUDY-0145,4,University,True,True,True,True
STUDY-0385,1,University,False,False,False,False
STUDY-0397,1,Hospital & research centre,False,True,True,True
STUDY-0532,1,Hospital / medical city,False,False,True,True
STUDY-0284,2,University,True,True,True,True
STUDY-0663,2,Hospital / medical city,True,True,True,True
STUDY-0970,1,Other sectors,False,True,False,True
STUDY-0304,2,University,True,True,True,True
STUDY-0487,1,University,False,False,False,False
STUDY-0362,1,University,False,False,False,False
STUDY-0123,1,University,False,False,False,False
STUDY-0731,1,Hospital / medical city,False,True,True,True
STUDY-0322,1,University,False,False,False,False
STUDY-0159,1,University,False,False,False,False
STUDY-0419,2,Hospital / medical city,True,True,True,True
STUDY-0333,1,Hospital & research centre,False,False,True,True
STUDY-0046,1,University,False,False,False,False
STUDY-0355,1,University,False,False,False,False
STUDY-0845,2,Hospital / medical city,True,True,True,True
STUDY-0555,1,University,False,False,False,False
STUDY-0945,1,University,False,False,False,False
STUDY-0365,1,University,False,False,False,False
STUDY-0023,1,University,False,False,False,False
STUDY-0817,1,University,False,False,False,False
STUDY-0170,1,University,False,False,False,False
STUDY-0442,1,Hospital / medical city,False,True,True,True
STUDY-0007,1,University,False,False,False,False
STUDY-0026,2,University,True,True,True,True
STUDY-0048,3,Military & security-forces medical,True,True,True,True
STUDY-0326,1,University,False,False,False,False
STUDY-0563,1,University,False,False,False,False
