base,round,reviewer,value
out_bias_acc,1st,R1,1
out_bias_acc,1st,R2,1
out_bias_acc,1st,R4,0.7
out_bias_acc,1st,R5,0.9
out_bias_acc,1st,R6,1
out_bias_acc,1st,R7,1
out_bias_acc,1st,R8,1
out_bias_acc,1st,R9,1
out_bias_acc,1st,R10,1
out_bias_acc,1st,R11,0.9
out_bias_acc,1st,R12,1
out_bias_acc,1st,R13,1
out_bias_acc,1st,R14,1
out_bias_acc,2nd,R1,1
out_bias_acc,2nd,R2,1
out_bias_acc,2nd,R4,1
out_bias_acc,2nd,R5,1
out_bias_acc,2nd,R6,1
out_bias_acc,2nd,R7,1
out_bias_acc,2nd,R8,1
out_bias_acc,2nd,R9,1
out_bias_acc,2nd,R10,1
out_bias_acc,2nd,R11,1
out_bias_acc,2nd,R12,1
out_bias_acc,2nd,R13,1
out_bias_acc,2nd,R14,1
outcome_type,1st,R1,0.8
outcome_type,1st,R2,0.666667
outcome_type,1st,R4,0.9
outcome_type,1st,R5,0.9
outcome_type,1st,R6,0.7
outcome_type,1st,R7,0.9
outcome_type,1st,R8,0.2
outcome_type,1st,R9,1
outcome_type,1st,R10,0.9
outcome_type,1st,R11,0.8
outcome_type,1st,R12,0.8
outcome_type,1st,R13,0.9
outcome_type,1st,R14,0.8
outcome_type,2nd,R1,1
outcome_type,2nd,R2,1
outcome_type,2nd,R4,1
outcome_type,2nd,R5,0.666667
outcome_type,2nd,R6,1
outcome_type,2nd,R7,1
outcome_type,2nd,R8,1
outcome_type,2nd,R9,1
outcome_type,2nd,R10,1
outcome_type,2nd,R11,0.666667
outcome_type,2nd,R12,1
outcome_type,2nd,R13,1
outcome_type,2nd,R14,0.666667
task,1st,R1,1
task,1st,R2,0.8
task,1st,R4,1
task,1st,R5,1
task,1st,R6,1
task,1st,R7,1
task,1st,R8,1
task,1st,R9,0.9
task,1st,R10,1
task,1st,R11,1
task,1st,R12,1
task,1st,R13,1
task,1st,R14,1
task,2nd,R1,1
task,2nd,R2,1
task,2nd,R4,1
task,2nd,R5,1
task,2nd,R6,1
task,2nd,R7,1
task,2nd,R8,1
task,2nd,R9,1
task,2nd,R10,1
task,2nd,R11,1
task,2nd,R12,1
task,2nd,R13,1
task,2nd,R14,1
