Timestamp,Reviewer ID:,What was the PMID of the research paper?,Do you wish to recuse yourself from reviewing this study for any reason?,What was the study task or epidemiological paradigm?,What was the study design?,Did the study use data from Saudi Arabia or not?,What was the sampling technique?,Was a sample size calculation done?,"Did the authors account for ineligibility, non-response, loss to follow-up, etc. in sample size calculation?",Was the sample size needed achieved?,Was the baseline selection bias from the investigator accounted for?,What was the nature of the outcome?,Did the authors use validated measurement for the outcome?,Was the measurement bias in the outcome accounted for? ,Was there any participant with a missing outcome?,Any methods used for handling missing data in outcome?,Did the authors qualitatively mention the following errors in the discussion section? (select all that apply),Did the authors investigate any association beyond their primary intention of describing the sample? ,What was the study design?,Did the study use data from Saudi Arabia or not?,What was the study design?,Did the study use data from Saudi Arabia or not?,What was the sampling technique?,Was a sample size calculation done?,"Did the authors account for ineligibility, non-response, loss to follow-up, change in exposure status over time. etc. in sample size calculation?",Was the sample size needed achieved?,Was there selection into study as a result of selective invitation to participation (baseline selection bias from the investigator)? ,Was the baseline selection bias from the investigator accounted for?,Did the authors compare the distribution of the exposure and outcome between those included (responded) in the study and those not included (did not respond) in the study to check if there was selection bias due to participant' baseline non-response?,Was there loss to follow-up bias? ,Was the loss to follow-up bias accounted for? ,What was the nature of the exposure?,Did the authors use validated measurement for the exposure?,Was the measurement bias in the exposure differential or non-differential with respect to the outcome?,Was the measurement bias in the exposure accounted for? ,What was the nature of the outcome?,Did the authors use validated measurement for the outcome?,Was the measurement bias in the outcome differential or non-differential with respect to the exposure?,Was the measurement bias in the outcome accounted for? ,Was the exposure measurement bias independent or dependent of the outcome measurement bias?,What was/were the method(s) used for handling baseline confounding? (select all that apply),Was there baseline confounding in case of estimating time-fixed causal effect?,What was/were the method(s) used for handling time-varying confounding? (select all that apply),Was there time-varying confounding in case of estimating time-varying causal effect?,How did the authors determine the confounding variables that they have adjusted for? (select all that apply),Was there any participant with a missing exposure?,Any methods used for handling missing data in exposure?,Was there any participant with a missing outcome?,Any methods used for handling missing data in outcome?,Did the authors qualitatively mention the following errors in the discussion section? (select all that apply)
2024/06/10 7:12:58 PM GMT+3,9,STUDY-0747,"No, I do not wish to recuse myself.",Causal,Cross-sectional,No,Whole population was invited (no sample was taken),No sampling done,,No sampling done,No,Objective,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",No,Not reported or unknown,Not reported or unknown,Confounding bias,,Cross-sectional,No,Cross-sectional,No,Whole population was invited (no sample was taken),No sampling done,No sampling done,No sampling done,No,No,No,No follow-up,No follow-up,Objective,No,Differential with respect to the outcome,No,Objective,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",Differential with respect to the exposure,No,Dependent,Restriction,Yes,No adjustment for confounding was done,No time-varying effect estimated,Based on previous literature,Not reported or unknown,Not reported or unknown,Not reported or unknown,Not reported or unknown,Confounding bias
2024/06/10 10:40:42 PM GMT+3,9,STUDY-0070,"No, I do not wish to recuse myself.",Causal,Cross-sectional,Yes,Whole population was invited (no sample was taken),No sampling done,,No sampling done,No,Objective,No,No,Not reported or unknown,Not reported or unknown,None of the above,,Cross-sectional,Yes,Cross-sectional,Yes,Whole population was invited (no sample was taken),No sampling done,No sampling done,No sampling done,No,No,No baseline selection bias from from participants non-response,No follow-up,No follow-up,Objective,No,Differential with respect to the outcome,No,Objective,No,Differential with respect to the exposure,No,Dependent,No adjustment for confounding was done,Yes,No adjustment for confounding was done,Yes,No adjustment for confounding was done,Not reported or unknown,Not reported or unknown,Not reported or unknown,Not reported or unknown,None of the above
2024/06/13 12:55:08 PM GMT+3,6,STUDY-0747,"No, I do not wish to recuse myself.",Causal,Cross-sectional,No,Non-random,Yes,,Yes,No,Objective,No,No,Not reported or unknown,Not reported or unknown,Confounding bias,,Cross-sectional,No,Cross-sectional,No,Non-random,Yes,No,Yes,Yes,No,No,No follow-up,No follow-up,Objective,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",Non-differential with respect to the outcome,No,Objective,No,Non-differential with respect to the exposure,No,Independent,Restriction,Yes,No time-varying effect estimated,No time-varying effect estimated,Based on previous literature;Based on none of the above,Not reported or unknown,Not reported or unknown,Not reported or unknown,Not reported or unknown,Confounding bias
2024/06/13 12:55:58 PM GMT+3,10,STUDY-0747,"No, I do not wish to recuse myself.",Causal,Cross-sectional,No,Whole population was invited (no sample was taken),Yes,,Yes,No baseline selection bias from investigator,Objective,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",No,No,No missing data in outcome,Random error;Selection bias;Confounding bias,,Cross-sectional,No,Cross-sectional,No,Whole population was invited (no sample was taken),Yes,No sampling done,Yes,No,No baseline selection bias from investigator,No,No follow-up,No follow-up,Objective,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",Non-differential with respect to the outcome,No,Objective,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",Non-differential with respect to the exposure,No,Independent,No adjustment for confounding was done,Yes,No time-varying effect estimated,No time-varying effect estimated,Based on previous literature;No adjustment for confounding was done,No,No missing data in exposure,No,No missing data in outcome,Random error;Selection bias;Confounding bias
2024/06/13 1:28:12 PM GMT+3,6,STUDY-0070,"No, I do not wish to recuse myself.",Causal,Cross-sectional,Yes,Non-random,No,,No sample size calculation done,No,Objective,No,No,Not reported or unknown,Not reported or unknown,Selection bias,,Cross-sectional,Yes,Cross-sectional,Yes,Non-random,No,No sample size calculation done,No sample size calculation done,Yes,No,No,No follow-up,No follow-up,Objective,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",Differential with respect to the outcome,No,Objective,No,Differential with respect to the exposure,No,Dependent,No adjustment for confounding was done,Yes,No time-varying effect estimated,No time-varying effect estimated,No adjustment for confounding was done,Not reported or unknown,Not reported or unknown,Not reported or unknown,Not reported or unknown,Selection bias
2024/06/13 1:40:36 PM GMT+3,6,STUDY-0704,"No, I do not wish to recuse myself.",Causal,Cohort (including clinical trials without randomization),Yes,Non-random,No,,No sample size calculation done,No,Objective,No,No,Not reported or unknown,Not reported or unknown,None of the above,,Cohort (including clinical trials without randomization),Yes,Cohort (including clinical trials without randomization),Yes,Non-random,No,No sample size calculation done,No sample size calculation done,Yes,No,No,Not reported or unknown,Not reported or unknown,Objective,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",Non-differential with respect to the outcome,No,Objective,No,Differential with respect to the exposure,No,Independent,No adjustment for confounding was done,Yes,No time-varying effect estimated,No time-varying effect estimated,No adjustment for confounding was done,Not reported or unknown,Not reported or unknown,Not reported or unknown,Not reported or unknown,None of the above
2024/06/13 1:53:05 PM GMT+3,10,STUDY-0070,"No, I do not wish to recuse myself.",Causal,Cross-sectional,Yes,Non-random,No,,No sample size calculation done,No,Objective,No,No,No,No missing data in outcome,None of the above,,Cross-sectional,Yes,Cross-sectional,Yes,Non-random,No,No sample size calculation done,No sample size calculation done,Yes,No,No,No follow-up,No follow-up,Objective,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",Non-differential with respect to the outcome,No,Objective,No,Differential with respect to the exposure,No,Dependent,No adjustment for confounding was done,No,No time-varying effect estimated,No time-varying effect estimated,No adjustment for confounding was done,No,No missing data in exposure,No,No missing data in outcome,None of the above
2024/06/13 2:45:27 PM GMT+3,10,STUDY-0704,"No, I do not wish to recuse myself.",Causal,Cohort (including clinical trials without randomization),Yes,Non-random,No,,No sample size calculation done,No,Objective,No,No,Not reported or unknown,Not reported or unknown,None of the above,,Cohort (including clinical trials without randomization),Yes,Cohort (including clinical trials without randomization),Yes,Non-random,No,No sample size calculation done,No sample size calculation done,Yes,No,No,Not reported or unknown,Not reported or unknown,Objective,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",Non-differential with respect to the outcome,No,Objective,No,Differential with respect to the exposure,No,Dependent,No adjustment for confounding was done,Yes,No time-varying effect estimated,No time-varying effect estimated,No adjustment for confounding was done,No,No missing data in exposure,Not reported or unknown,Not reported or unknown,None of the above
2024/06/13 4:34:53 PM GMT+3,9,STUDY-0704,"No, I do not wish to recuse myself.",Causal,Cohort (including clinical trials without randomization),Yes,Whole population was invited (no sample was taken),No sampling done,,No sampling done,No baseline selection bias from investigator,Objective,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",No,Not reported or unknown,Not reported or unknown,Random error,,Cohort (including clinical trials without randomization),Yes,Cohort (including clinical trials without randomization),Yes,Whole population was invited (no sample was taken),No sampling done,No sampling done,No sampling done,No,No baseline selection bias from investigator,No baseline selection bias from from participants non-response,No follow-up,No follow-up,Objective,"This type of objective measurement does not usually require validation (e.g., surgical intervention)",Differential with respect to the outcome,No,Objective,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",Differential with respect to the exposure,No,Dependent,No adjustment for confounding was done,No,No adjustment for confounding was done,No time-varying effect estimated,No adjustment for confounding was done,Not reported or unknown,Not reported or unknown,Not reported or unknown,Not reported or unknown,Random error
2024/06/13 9:49:44 PM GMT+3,4,STUDY-0747,"No, I do not wish to recuse myself.",Causal,Cross-sectional,No,Whole population was invited (no sample was taken),Yes,,Yes,No,Objective,"Yes, the authors conducted criterion validity or cited the criterion validity from other studies",No,No,No missing data in outcome,Random error,,Cross-sectional,No,Cross-sectional,No,Whole population was invited (no sample was taken),Yes,No sampling done,Yes,No,No,No,No follow-up,No follow-up,Objective,No,Differential with respect to the outcome,No,Objective,"Yes, the authors conducted criterion validity or cited the criterion validity from other studies",Non-differential with respect to the exposure,No,Independent,Restriction,No,No time-varying effect estimated,No time-varying effect estimated,Based on previous literature;No adjustment for confounding was done,No,No missing data in exposure,No,No missing data in outcome,Random error
