PMID,Study_Type,jcr_2022_quartile
STUDY-0400,Causal,Q2
STUDY-1007,Descriptive,Q3
STUDY-0995,Causal,Q3
STUDY-0455,Predictive,Q3
STUDY-0405,Causal,Q3
STUDY-0531,Descriptive,Q3
STUDY-0106,Descriptive,Q4
STUDY-0527,Causal,Q1
STUDY-0436,Causal,Q4
STUDY-0427,Causal,Q3
STUDY-0837,Predictive,Q2
STUDY-0445,Predictive,Q1
STUDY-0172,Causal,Q2
STUDY-0177,Descriptive,Q3
STUDY-0393,Descriptive,Q1
STUDY-0843,Predictive,Q3
STUDY-0774,Causal,Q2
STUDY-0880,Causal,Q4
STUDY-0914,Descriptive,Q3
STUDY-0250,Predictive,Q1
STUDY-0104,Causal,Q3
STUDY-0537,Descriptive,Q4
STUDY-0737,Descriptive,Q1
STUDY-0220,Causal,Q1
STUDY-0994,Causal,Q2
STUDY-0499,Causal,Q2
STUDY-0350,Descriptive,Q1
STUDY-0354,Descriptive,Q3
STUDY-0839,Causal,Q2
STUDY-0750,Causal,Q4
STUDY-0259,Causal,Q1
STUDY-0707,Predictive,Q2
STUDY-0431,Causal,Q1
STUDY-0821,Descriptive,Q1
STUDY-1022,Causal,Q2
STUDY-0145,Descriptive,Q1
STUDY-0385,Causal,Q3
STUDY-0397,Descriptive,Q4
STUDY-0532,Causal,Q3
STUDY-0284,Descriptive,Q1
STUDY-0663,Predictive,Q1
STUDY-0970,Descriptive,Q4
STUDY-0304,Causal,Q4
STUDY-0487,Descriptive,None
STUDY-0362,Causal,Q3
STUDY-0123,Predictive,Q2
STUDY-0731,Descriptive,Q4
STUDY-0322,Causal,Q2
STUDY-0159,Causal,Q2
STUDY-0419,Causal,Q3
STUDY-0333,Descriptive,Q4
STUDY-0046,Causal,Q2
STUDY-0355,Causal,Q1
STUDY-0845,Causal,Q1
STUDY-0555,Causal,Q2
STUDY-0945,Causal,Q1
STUDY-0365,Causal,Q2
STUDY-0023,Causal,None
STUDY-0817,Causal,None
STUDY-0170,Causal,Q2
STUDY-0442,Causal,Q3
STUDY-0007,Predictive,Q1
STUDY-0026,Causal,Q2
STUDY-0048,Causal,None
STUDY-0326,Causal,Q2
STUDY-0563,Predictive,Q3
STUDY-0144,Causal,Q4
STUDY-0045,Descriptive,Q2
STUDY-0041,Predictive,Q2
STUDY-0418,Predictive,Q3
STUDY-0234,Descriptive,Q1
STUDY-0788,Causal,None
STUDY-0521,Causal,Q3
STUDY-0346,Predictive,Q2
STUDY-0192,Causal,None
STUDY-0049,Causal,Q3
STUDY-0012,Descriptive,Q3
STUDY-0171,Predictive,None
STUDY-0141,Causal,Q1
STUDY-0671,Causal,Q3
STUDY-0924,Descriptive,Q3
STUDY-0182,Causal,Q2
STUDY-0597,Causal,Q3
STUDY-0149,Causal,Q3
STUDY-0256,Causal,Q1
STUDY-0830,Predictive,None
