journal,n_papers,n_descriptive,n_predictive,n_causal,sjr_best_quartile,jcr_2022_quartile,jcr_note,scimago_open_access,is_in_doaj
,1,1,0,0,Q1,Q1,,No,False
,1,0,1,0,Q2,None,ESCI in 2022,No,False
,1,0,0,1,Q3,Q4,,Yes,False
,1,0,0,1,Q1,Q2,,No,False
,1,0,0,1,Q1,Q2,,Yes,True
Scientific reports,6,1,1,4,Q1,Q2,,Yes,True
,2,0,0,2,Q3,Q4,,No,False
,1,0,0,1,Q1,None,ESCI in 2022,Yes,True
,1,0,1,0,Q2,Q3,,Yes,True
,3,2,0,1,Q1,Q2,,Yes,True
,1,0,0,1,Q1,Q2,,No,False
,2,0,0,2,Q2,Q3,,Yes,False
,1,1,0,0,Q1,Q2,,No,False
,1,0,0,1,Q2,Q3,,No,False
,1,0,0,1,Q1,Q3,,No,False
,1,1,0,0,Q2,Q1,,No,False
,1,0,0,1,Q1,Q2,,Yes,True
,1,0,0,1,Q1,Q2,,No,False
,2,0,0,2,Q2,Q2,,Yes,True
European review for medical and pharmacological sciences,6,1,0,5,Q2,Q2,,Yes,False
,1,0,0,1,Q1,Q3,,No,False
,1,1,0,0,Q3,Q4,,No,False
,1,0,0,1,Q1,Q1,,No,False
,1,0,1,0,Q1,Q1,,No,False
,1,0,0,1,Q1,Q2,,No,False
,1,0,1,0,Q2,Q3,,No,False
,1,1,0,0,Q3,Q4,,No,False
,1,0,0,1,Q2,None,Not in JCR by ISSN or name,No,False
,1,1,0,0,Q2,Q3,,No,False
,2,0,2,0,Q1,Q2,,No,False
,4,0,4,0,Q1,Q1,,No,False
,1,1,0,0,Q1,Q1,,Yes,False
,2,0,2,0,Q2,None,Delisted from WoS,Yes,False
,1,0,1,0,Q1,Q3,,No,False
,1,1,0,0,Q1,Q3,,No,False
,1,0,0,1,Q3,Q4,,Yes,True
,1,0,0,1,Q1,Q2,,No,False
,1,1,0,0,Q3,Q4,,No,False
,4,1,0,3,Q2,None,JIF suppressed,Yes,False
,1,0,0,1,Q1,Q1,,No,False
,1,0,0,1,Q1,Q1,,Yes,True
,1,1,0,0,Q3,None,Not in JCR by ISSN or name,Yes,False
,1,0,0,1,Q2,Q3,,Yes,True
,1,0,0,1,Q1,Q2,,Yes,True
,1,0,0,1,Q2,Q2,,Yes,True
,1,0,0,1,Q1,Q2,,Yes,True
,1,0,0,1,Q2,Q3,,No,False
,2,1,1,0,Q2,Q3,,No,False
,1,0,0,1,Q1,Q2,,No,False
,1,0,0,1,Q1,Q2,,No,False
,1,0,1,0,Q1,Q3,,No,False
,1,0,0,1,Q2,Q4,,No,False
,2,0,0,2,Q1,Q2,,No,False
,2,1,0,1,Q1,Q1,,Yes,True
,1,0,0,1,Q3,Q4,,Yes,True
,1,0,0,1,Q1,None,ESCI in 2022,No,False
,1,0,1,0,Q1,Q1,,No,False
,1,0,0,1,Q1,Q1,,Yes,True
,1,0,0,1,Q2,Q3,,Yes,True
,3,0,2,1,Q1,Q2,,Yes,True
,1,0,0,1,Q1,Q2,,No,False
,1,1,0,0,Q3,Q4,,No,False
