Study_Type,sjr_best_quartile,jcr_2022_quartile,oa_status,scimago_open_access,is_in_doaj,in_pmc,field,domain,publisher_country,pub_year
Predictive,-,None,hybrid,Yes,False,Yes,Medicine,Health Sciences,United States,2022
Descriptive,Q3,None,diamond,No,False,Yes,Medicine,Health Sciences,Other (fewer than 5 papers each),2022
Predictive,Q2,Q3,gold,Yes,True,Yes,Medicine,Health Sciences,England,2022
Causal,Q3,Q3,diamond,Yes,False,Yes,Medicine,Health Sciences,Saudi Arabia,2022
Causal,Q1,Q1,gold,Yes,True,Yes,Medicine,Health Sciences,United States,2022
Descriptive,Q2,Q2,closed,Yes,False,No,Dentistry,Health Sciences,Italy,2022
Descriptive,Q2,Q4,closed,No,False,No,Dentistry,Health Sciences,United States,2022
Causal,Q2,None,gold,Yes,True,Yes,Dentistry,Health Sciences,United States,2023
Predictive,Q1,Q1,green,No,False,Yes,Medicine,Health Sciences,United States,2023
Causal,Q3,Q4,closed,No,False,No,Psychology,Social Sciences,Other (fewer than 5 papers each),2022
Causal,Q3,Q2,bronze,No,False,No,Medicine,Health Sciences,England,2023
Descriptive,Q2,Q2,bronze,No,False,Yes,Medicine,Health Sciences,United States,2022
Causal,Q1,Q1,green,No,False,No,Medicine,Health Sciences,Netherlands,2022
Descriptive,Q3,Q4,closed,No,False,No,Medicine,Health Sciences,England,2023
Causal,Q1,Q2,gold,Yes,True,Yes,Medicine,Health Sciences,England,2022
Predictive,Q1,Q2,gold,Yes,True,Yes,Health Professions,Health Sciences,United States,2022
Predictive,-,None,hybrid,Yes,False,Yes,Medicine,Health Sciences,United States,2022
Causal,Q3,None,diamond,Yes,True,Yes,Medicine,Health Sciences,Other (fewer than 5 papers each),2022
Causal,Q2,None,hybrid,Yes,False,Yes,Dentistry,Health Sciences,United States,2022
Causal,Q2,None,gold,Yes,False,Yes,Medicine,Health Sciences,Switzerland,2022
Predictive,Q3,None,diamond,No,False,Yes,Medicine,Health Sciences,Other (fewer than 5 papers each),2022
Causal,Q2,Q3,gold,Yes,True,Yes,Other (fewer than 5 papers each),Physical Sciences,United States,2022
Causal,Q1,Q1,hybrid,Yes,False,No,"Biochemistry, Genetics and Molecular Biology",Life Sciences,United States,2023
