Study_Type,category,domain,source
Causal,1.1,1,adjudicated (TSA/YA)
Causal,1.1,1,adjudicated (TSA/YA)
Causal,1.1,1,adjudicated (TSA/YA)
Causal,1.1,1,adjudicated (TSA/YA)
Causal,1.1,1,adjudicated (TSA/YA)
Causal,1.1,1,adjudicated (TSA/YA)
Causal,1.1,1,adjudicated (TSA/YA)
Causal,1.1,1,adjudicated (TSA/YA)
Causal,1.1,1,adjudicated (TSA/YA)
Causal,1.1,1,adjudicated (TSA/YA)
Causal,1.1,1,adjudicated (TSA/YA)
Causal,1.1,1,adjudicated (TSA/YA)
Causal,1.1,1,adjudicated (TSA/YA)
Causal,1.1,1,adjudicated (TSA/YA)
Causal,1.1,1,adjudicated (TSA/YA)
Causal,1.1,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.2,1,adjudicated (TSA/YA)
Causal,1.3,1,adjudicated (TSA/YA)
Causal,1.3,1,adjudicated (TSA/YA)
Causal,1.3,1,adjudicated (TSA/YA)
Causal,1.3,1,adjudicated (TSA/YA)
Causal,1.3,1,adjudicated (TSA/YA)
Causal,1.3,1,adjudicated (TSA/YA)
Causal,1.3,1,adjudicated (TSA/YA)
Causal,1.3,1,adjudicated (TSA/YA)
Causal,1.3,1,adjudicated (TSA/YA)
Causal,1.3,1,adjudicated (TSA/YA)
Causal,1.3,1,adjudicated (TSA/YA)
Causal,1.3,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.4,1,adjudicated (TSA/YA)
Causal,1.5,1,adjudicated (TSA/YA)
Causal,1.5,1,adjudicated (TSA/YA)
Causal,1.5,1,adjudicated (TSA/YA)
Causal,1.5,1,adjudicated (TSA/YA)
Causal,1.5,1,adjudicated (TSA/YA)
Causal,1.5,1,adjudicated (TSA/YA)
Causal,1.5,1,adjudicated (TSA/YA)
Causal,1.5,1,adjudicated (TSA/YA)
Causal,2.1,2,adjudicated (TSA/YA)
Causal,2.1,2,adjudicated (TSA/YA)
Causal,2.1,2,adjudicated (TSA/YA)
Causal,2.1,2,adjudicated (TSA/YA)
Causal,2.1,2,adjudicated (TSA/YA)
Causal,2.1,2,adjudicated (TSA/YA)
Causal,2.1,2,adjudicated (TSA/YA)
Causal,2.1,2,adjudicated (TSA/YA)
Causal,2.1,2,adjudicated (TSA/YA)
Causal,2.1,2,adjudicated (TSA/YA)
Causal,2.1,2,adjudicated (TSA/YA)
Causal,2.1,2,adjudicated (TSA/YA)
Causal,2.1,2,adjudicated (TSA/YA)
Causal,2.1,2,adjudicated (TSA/YA)
Causal,2.1,2,adjudicated (TSA/YA)
Causal,2.1,2,adjudicated (TSA/YA)
Causal,2.1,2,adjudicated (TSA/YA)
Causal,2.1,2,adjudicated (TSA/YA)
Causal,2.1,2,adjudicated (TSA/YA)
Causal,2.1,2,adjudicated (TSA/YA)
Causal,2.1,2,adjudicated (TSA/YA)
Causal,2.1,2,adjudicated (TSA/YA)
Causal,2.1,2,adjudicated (TSA/YA)
Causal,2.1,2,adjudicated (TSA/YA)
Causal,2.1,2,adjudicated (TSA/YA)
Causal,2.1,2,adjudicated (TSA/YA)
Causal,2.1,2,adjudicated (TSA/YA)
Causal,2.1,2,adjudicated (TSA/YA)
Causal,2.1,2,adjudicated (TSA/YA)
Causal,2.1,2,adjudicated (TSA/YA)
Causal,2.1,2,adjudicated (TSA/YA)
Causal,2.1,2,adjudicated (TSA/YA)
Causal,2.1,2,adjudicated (TSA/YA)
Causal,2.1,2,adjudicated (TSA/YA)
Causal,2.2,2,adjudicated (TSA/YA)
Causal,2.2,2,adjudicated (TSA/YA)
Causal,2.2,2,adjudicated (TSA/YA)
Causal,2.2,2,adjudicated (TSA/YA)
Causal,2.2,2,adjudicated (TSA/YA)
Causal,2.2,2,adjudicated (TSA/YA)
Causal,2.2,2,adjudicated (TSA/YA)
Causal,2.2,2,adjudicated (TSA/YA)
Causal,2.2,2,adjudicated (TSA/YA)
Causal,2.2,2,adjudicated (TSA/YA)
Causal,2.2,2,adjudicated (TSA/YA)
Causal,2.2,2,adjudicated (TSA/YA)
Causal,2.2,2,adjudicated (TSA/YA)
Causal,2.2,2,adjudicated (TSA/YA)
Causal,2.2,2,adjudicated (TSA/YA)
Causal,2.2,2,adjudicated (TSA/YA)
Causal,2.2,2,adjudicated (TSA/YA)
Causal,2.3,2,adjudicated (TSA/YA)
Causal,2.3,2,adjudicated (TSA/YA)
Causal,2.3,2,adjudicated (TSA/YA)
Causal,3.1,3,adjudicated (TSA/YA)
Causal,3.1,3,adjudicated (TSA/YA)
Causal,3.1,3,adjudicated (TSA/YA)
Causal,3.2,3,adjudicated (TSA/YA)
