"PMID","domain","Study_Type","state"
"STUDY-0400","Random error","Causal","REP"
"STUDY-1007","Random error","Descriptive","REP"
"STUDY-0995","Random error","Causal","NA"
"STUDY-0405","Random error","Causal","REP"
"STUDY-0531","Random error","Descriptive","REP"
"STUDY-0106","Random error","Descriptive","REP"
"STUDY-0527","Random error","Causal","OK"
"STUDY-0436","Random error","Causal","REP"
"STUDY-0427","Random error","Causal","REP"
"STUDY-0172","Random error","Causal","VAL"
"STUDY-0177","Random error","Descriptive","VAL"
"STUDY-0393","Random error","Descriptive","NA"
"STUDY-0774","Random error","Causal","OK"
"STUDY-0880","Random error","Causal","NA"
"STUDY-0914","Random error","Descriptive","NA"
"STUDY-0104","Random error","Causal","VAL"
"STUDY-0537","Random error","Descriptive","NA"
"STUDY-0658","Random error","Causal","REP"
"STUDY-0737","Random error","Descriptive","NA"
"STUDY-0220","Random error","Causal","REP"
"STUDY-0994","Random error","Causal","REP"
"STUDY-0499","Random error","Causal","OK"
"STUDY-0350","Random error","Descriptive","VAL"
"STUDY-0354","Random error","Descriptive","VAL"
"STUDY-0839","Random error","Causal","NA"
"STUDY-0750","Random error","Causal","REP"
"STUDY-0259","Random error","Causal","REP"
"STUDY-0431","Random error","Causal","REP"
"STUDY-0821","Random error","Descriptive","NA"
"STUDY-1022","Random error","Causal","REP"
"STUDY-0145","Random error","Descriptive","NA"
"STUDY-0385","Random error","Causal","VAL"
"STUDY-0397","Random error","Descriptive","REP"
"STUDY-0532","Random error","Causal","OK"
"STUDY-0284","Random error","Descriptive","REP"
"STUDY-0970","Random error","Descriptive","REP"
"STUDY-0304","Random error","Causal","VAL"
"STUDY-0487","Random error","Descriptive","VAL"
"STUDY-0362","Random error","Causal","REP"
"STUDY-0731","Random error","Descriptive","REP"
"STUDY-0322","Random error","Causal","VAL"
"STUDY-0159","Random error","Causal","REP"
"STUDY-0419","Random error","Causal","NA"
"STUDY-0333","Random error","Descriptive","NA"
"STUDY-0046","Random error","Causal","REP"
"STUDY-0355","Random error","Causal","REP"
"STUDY-0845","Random error","Causal","REP"
"STUDY-0555","Random error","Causal","REP"
"STUDY-0945","Random error","Causal","NA"
"STUDY-0365","Random error","Causal","REP"
"STUDY-0023","Random error","Causal","REP"
"STUDY-0817","Random error","Causal","OK"
"STUDY-0170","Random error","Causal","REP"
"STUDY-0442","Random error","Causal","REP"
"STUDY-0026","Random error","Causal","REP"
"STUDY-0048","Random error","Causal","NA"
"STUDY-0326","Random error","Causal","NA"
