"PMID","Study_Type","domain","item","axis","state","primary","raw","severity"
"STUDY-0400","Causal","Random error","sample_size","reporting","REP",TRUE,"No",0
"STUDY-0400","Causal","Random error","acc_sampl","validity","NA",TRUE,"",0
"STUDY-0400","Causal","Random error","sample_ach","validity","NA",TRUE,"",0
"STUDY-0400","Causal","Selection bias","base_sel","validity","VAL",TRUE,"No",1
"STUDY-0400","Causal","Selection bias","comp_dis","reporting","REP",TRUE,"No",0
"STUDY-0400","Causal","Measurement bias","val_outcome","validity","VAL",TRUE,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",0.5
"STUDY-0400","Causal","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0400","Causal","Measurement bias","diff_or_nondiff_out","validity","VAL",TRUE,"Differential with respect to the exposure",1
"STUDY-0400","Causal","Measurement bias","val_exposure","validity","VAL",TRUE,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",0.5
"STUDY-0400","Causal","Measurement bias","exp_bias_acc","validity","VAL",TRUE,"No",1
"STUDY-0400","Causal","Measurement bias","diff_or_nondiff_exp","validity","VAL",TRUE,"Differential with respect to the outcome",1
"STUDY-0400","Causal","Measurement bias","dep_or_indep_misc","validity","VAL",TRUE,"Dependent",1
"STUDY-0400","Causal","Confounding bias","base_conf_meth","validity","VAL",TRUE,"No adjustment for baseline confounding was done",1
"STUDY-0400","Causal","Confounding bias","conf_var_det","validity","NA",TRUE,"No adjustment for baseline and time-varying confounding was done",0
"STUDY-0400","Causal","Confounding bias","tv_conf_meth","validity","NA",TRUE,"No || ",0
"STUDY-0400","Causal","Missing data","miss_outcome","reporting","REP",TRUE,"Not reported or unknown",0
"STUDY-0400","Causal","Missing data","miss_exposure","reporting","REP",TRUE,"Not reported or unknown",0
"STUDY-0400","Causal","Mentioning errors","err_disc","reporting","OK",TRUE,"Selection bias;Measurement bias;Confounding bias",0
"STUDY-1007","Descriptive","Random error","sample_size","reporting","REP",TRUE,"No",0
"STUDY-1007","Descriptive","Random error","acc_sampl","validity","NA",TRUE,"",0
"STUDY-1007","Descriptive","Random error","sample_ach","validity","NA",TRUE,"",0
"STUDY-1007","Descriptive","Selection bias","base_sel","validity","VAL",TRUE,"No",1
"STUDY-1007","Descriptive","Measurement bias","val_outcome","validity","VAL",TRUE,"Yes, the authors conducted content/face validity or cited the content/face validity from other studies",0.5
"STUDY-1007","Descriptive","Measurement bias","out_bias_acc","validity","VAL",TRUE,"No",1
