"PMID","Study_Type","n_applicable","n_rep_gaps","n_val_flags","error_weighted","transparency","validity","validity_weighted","domains_flagged","ack_flagged","ack_named","acknowledgement"
"STUDY-0005","Causal",17,2,11,10.6666667,0.882352941176471,0.266666666666667,0.288888886666667,4,4,1,0.25
"STUDY-0006","Causal",15,3,8,7.5,0.8,0.333333333333333,0.375,3,3,1,0.333333333333333
"STUDY-0012","Descriptive",10,0,7,6.5,1,0.3,0.35,5,4,2,0.5
"STUDY-0017","Causal",16,3,8,6.6666667,0.8125,0.384615384615385,0.487179484615385,4,4,1,0.25
"STUDY-0019","Causal",17,2,8,7.5,0.882352941176471,0.466666666666667,0.5,4,4,0,0
"STUDY-0023","Causal",13,3,7,6.5,0.769230769230769,0.3,0.35,3,3,0,0
"STUDY-0026","Causal",14,3,5,4.5,0.785714285714286,0.545454545454545,0.590909090909091,3,3,0,0
"STUDY-0030","Causal",13,3,5,4.1666667,0.769230769230769,0.5,0.58333333,2,2,0,0
"STUDY-0037","Causal",16,1,8,7.1666667,0.9375,0.466666666666667,0.52222222,4,4,2,0.5
"STUDY-0040","Causal",19,1,6,5.6666667,0.947368421052632,0.666666666666667,0.685185183333333,4,4,0,0
"STUDY-0045","Descriptive",6,1,3,2.5,0.833333333333333,0.4,0.5,2,1,0,0
"STUDY-0046","Causal",15,5,5,3.8333333,0.666666666666667,0.5,0.61666667,3,3,2,0.666666666666667
"STUDY-0047","Descriptive",6,2,3,3,0.666666666666667,0.25,0.25,3,2,0,0
"STUDY-0048","Causal",14,1,6,5.6666667,0.928571428571429,0.538461538461538,0.564102561538461,2,2,1,0.5
"STUDY-0049","Causal",16,3,9,8,0.8125,0.307692307692308,0.384615384615385,4,4,2,0.5
"STUDY-0053","Descriptive",7,3,2,2,0.571428571428571,0.5,0.5,2,2,0,0
"STUDY-0055","Descriptive",7,1,3,3,0.857142857142857,0.5,0.5,3,2,2,1
"STUDY-0062","Causal",15,3,5,5,0.8,0.583333333333333,0.583333333333333,4,4,0,0
"STUDY-0064","Causal",14,2,6,6,0.857142857142857,0.5,0.5,3,3,0,0
"STUDY-0074","Descriptive",6,0,3,3,1,0.5,0.5,2,1,0,0
"STUDY-0083","Causal",15,5,5,4.6666667,0.666666666666667,0.5,0.53333333,3,3,0,0
"STUDY-0084","Causal",18,1,6,5.6666667,0.944444444444444,0.647058823529412,0.666666664705882,4,4,1,0.25
"STUDY-0086","Descriptive",7,2,3,3,0.714285714285714,0.4,0.4,3,2,0,0
"STUDY-0093","Causal",13,2,5,4.1666667,0.846153846153846,0.545454545454545,0.621212118181818,2,2,2,1
"STUDY-0094","Causal",15,2,7,5.6666667,0.866666666666667,0.461538461538462,0.564102561538461,3,3,2,0.666666666666667
"STUDY-0096","Causal",15,4,5,4.1666667,0.733333333333333,0.545454545454545,0.621212118181818,3,3,3,1
"STUDY-0100","Causal",18,1,10,9.1666667,0.944444444444444,0.411764705882353,0.460784311764706,5,5,2,0.4
"STUDY-0104","Causal",17,0,6,5.6666667,1,0.647058823529412,0.666666664705882,3,3,1,0.333333333333333
"STUDY-0106","Descriptive",7,1,4,4,0.857142857142857,0.333333333333333,0.333333333333333,3,2,1,0.5
"STUDY-0109","Causal",15,3,9,8.5,0.8,0.25,0.291666666666667,4,4,2,0.5
"STUDY-0112","Causal",14,4,6,5.6666667,0.714285714285714,0.4,0.43333333,3,3,1,0.333333333333333
"STUDY-0115","Causal",16,1,8,7,0.9375,0.466666666666667,0.533333333333333,4,4,2,0.5
