PMID,domain,Study_Type,isVAL,isREP,isAPP
STUDY-0400,Confounding bias,Causal,1,0,1
STUDY-0400,Measurement bias,Causal,3,0,5
STUDY-0400,Mentioning errors,Causal,0,0,1
STUDY-0400,Missing data,Causal,0,2,2
STUDY-0400,Random error,Causal,0,1,1
STUDY-0400,Selection bias,Causal,1,1,2
STUDY-1007,Conflating task,Descriptive,0,0,1
STUDY-1007,Measurement bias,Descriptive,0,0,1
STUDY-1007,Mentioning errors,Descriptive,0,0,1
STUDY-1007,Missing data,Descriptive,0,1,1
STUDY-1007,Random error,Descriptive,0,1,1
STUDY-1007,Selection bias,Descriptive,1,0,1
STUDY-0995,Confounding bias,Causal,1,0,2
STUDY-0995,Measurement bias,Causal,0,0,3
STUDY-0995,Mentioning errors,Causal,0,0,1
STUDY-0995,Missing data,Causal,0,2,2
STUDY-0995,Selection bias,Causal,0,1,2
STUDY-0405,Confounding bias,Causal,1,0,2
STUDY-0405,Measurement bias,Causal,2,0,5
STUDY-0405,Mentioning errors,Causal,0,0,1
STUDY-0405,Missing data,Causal,0,0,2
STUDY-0405,Random error,Causal,0,1,1
STUDY-0405,Selection bias,Causal,1,1,2
STUDY-0531,Conflating task,Descriptive,1,0,1
STUDY-0531,Measurement bias,Descriptive,1,0,1
STUDY-0531,Mentioning errors,Descriptive,0,0,1
STUDY-0531,Missing data,Descriptive,0,0,1
STUDY-0531,Random error,Descriptive,0,1,1
STUDY-0531,Selection bias,Descriptive,1,0,1
STUDY-0106,Conflating task,Descriptive,1,0,1
STUDY-0106,Measurement bias,Descriptive,1,0,1
STUDY-0106,Mentioning errors,Descriptive,0,0,1
STUDY-0106,Missing data,Descriptive,0,0,1
STUDY-0106,Random error,Descriptive,0,1,1
STUDY-0106,Selection bias,Descriptive,1,0,1
STUDY-0527,Confounding bias,Causal,1,0,1
STUDY-0527,Measurement bias,Causal,2,0,5
STUDY-0527,Mentioning errors,Causal,0,0,1
STUDY-0527,Missing data,Causal,0,0,2
STUDY-0527,Random error,Causal,0,0,3
STUDY-0527,Selection bias,Causal,1,1,2
STUDY-0436,Confounding bias,Causal,1,0,2
STUDY-0436,Measurement bias,Causal,2,0,5
STUDY-0436,Mentioning errors,Causal,0,1,1
STUDY-0436,Missing data,Causal,0,1,2
STUDY-0436,Random error,Causal,0,1,1
STUDY-0436,Selection bias,Causal,1,1,2
STUDY-0427,Confounding bias,Causal,1,0,1
STUDY-0427,Measurement bias,Causal,2,0,4
STUDY-0427,Mentioning errors,Causal,0,0,1
STUDY-0427,Missing data,Causal,0,2,2
STUDY-0427,Random error,Causal,0,1,1
STUDY-0427,Selection bias,Causal,1,1,2
STUDY-0172,Confounding bias,Causal,0,0,2
STUDY-0172,Measurement bias,Causal,3,0,5
STUDY-0172,Mentioning errors,Causal,0,0,1
STUDY-0172,Missing data,Causal,0,2,2
STUDY-0172,Random error,Causal,1,0,3
STUDY-0172,Selection bias,Causal,1,1,2
STUDY-0177,Conflating task,Descriptive,0,0,1
STUDY-0177,Measurement bias,Descriptive,0,0,1
STUDY-0177,Mentioning errors,Descriptive,0,0,1
STUDY-0177,Missing data,Descriptive,0,0,1
STUDY-0177,Random error,Descriptive,2,0,3
STUDY-0177,Selection bias,Descriptive,1,0,1
STUDY-0393,Conflating task,Descriptive,0,0,1
STUDY-0393,Measurement bias,Descriptive,0,0,1
STUDY-0393,Mentioning errors,Descriptive,0,0,1
STUDY-0393,Missing data,Descriptive,1,0,2
STUDY-0393,Selection bias,Descriptive,0,0,1
STUDY-0774,Confounding bias,Causal,0,0,1
STUDY-0774,Measurement bias,Causal,0,0,5
