stratifier,level,ord,task,domain,applic,val_n,rep_n,val_pct,rep_pct,mean_v_items,mean_r_items,mean_sev,ack_named,ack_pct
Saudi data used,Yes,1,Descriptive,Random error,37,8,24,21.6216216216216,64.8648648648649,0.297297297297297,0.648648648648649,0.297297297297297,2,25
Saudi data used,Yes,1,Descriptive,Selection bias,58,39,0,67.2413793103448,0,0.672413793103448,0,0.672413793103448,21,53.8461538461538
Saudi data used,Yes,1,Descriptive,Measurement bias,58,58,0,100,0,1.81034482758621,0,1.55172413793103,18,31.0344827586207
Saudi data used,Yes,1,Descriptive,Confounding bias,0,0,0,NA,NA,NA,NA,NA,NA,NA
Saudi data used,Yes,1,Descriptive,Missing data,58,11,15,18.9655172413793,25.8620689655172,0.189655172413793,0.258620689655172,0.189655172413793,2,18.1818181818182
Saudi data used,Yes,1,Descriptive,Mentioning errors,58,0,22,0,37.9310344827586,0,0.379310344827586,0,NA,NA
Saudi data used,Yes,1,Descriptive,Conflating task,58,35,0,60.3448275862069,0,0.603448275862069,0,0.603448275862069,NA,NA
Saudi data used,Yes,1,Causal,Random error,116,39,61,33.6206896551724,52.5862068965517,0.387931034482759,0.525862068965517,0.387931034482759,6,15.3846153846154
Saudi data used,Yes,1,Causal,Selection bias,142,113,126,79.5774647887324,88.7323943661972,0.830985915492958,0.97887323943662,0.830985915492958,36,31.858407079646
Saudi data used,Yes,1,Causal,Measurement bias,142,142,0,100,0,4.35211267605634,0,3.95774647887324,65,45.7746478873239
Saudi data used,Yes,1,Causal,Confounding bias,142,128,0,90.1408450704225,0,0.901408450704225,0,0.725352122535211,28,21.875
Saudi data used,Yes,1,Causal,Missing data,142,30,50,21.1267605633803,35.2112676056338,0.288732394366197,0.485915492957746,0.27112676056338,3,10
Saudi data used,Yes,1,Causal,Mentioning errors,142,0,36,0,25.3521126760563,0,0.253521126760563,0,NA,NA
Saudi data used,Yes,1,Causal,Conflating task,0,0,0,NA,NA,NA,NA,NA,NA,NA
Saudi data used,No,2,Descriptive,Random error,18,6,11,33.3333333333333,61.1111111111111,0.333333333333333,0.611111111111111,0.333333333333333,2,33.3333333333333
Saudi data used,No,2,Descriptive,Selection bias,23,16,0,69.5652173913043,0,0.695652173913043,0,0.695652173913043,6,37.5
Saudi data used,No,2,Descriptive,Measurement bias,23,22,0,95.6521739130435,0,1.56521739130435,0,1.39130434782609,9,40.9090909090909
Saudi data used,No,2,Descriptive,Confounding bias,0,0,0,NA,NA,NA,NA,NA,NA,NA
Saudi data used,No,2,Descriptive,Missing data,23,0,10,0,43.4782608695652,0,0.434782608695652,0,NA,NA
Saudi data used,No,2,Descriptive,Mentioning errors,23,0,11,0,47.8260869565217,0,0.478260869565217,0,NA,NA
Saudi data used,No,2,Descriptive,Conflating task,23,17,0,73.9130434782609,0,0.739130434782609,0,0.739130434782609,NA,NA
Saudi data used,No,2,Causal,Random error,74,21,47,28.3783783783784,63.5135135135135,0.297297297297297,0.635135135135135,0.297297297297297,2,9.52380952380952
Saudi data used,No,2,Causal,Selection bias,87,70,74,80.4597701149425,85.0574712643678,0.827586206896552,1.06896551724138,0.827586206896552,21,30
Saudi data used,No,2,Causal,Measurement bias,87,87,0,100,0,3.89655172413793,0,3.54597701149425,37,42.5287356321839
Saudi data used,No,2,Causal,Confounding bias,87,73,0,83.9080459770115,0,0.839080459770115,0,0.632183920689655,20,27.3972602739726
Saudi data used,No,2,Causal,Missing data,87,22,33,25.2873563218391,37.9310344827586,0.35632183908046,0.563218390804598,0.35632183908046,3,13.6363636363636
Saudi data used,No,2,Causal,Mentioning errors,87,0,29,0,33.3333333333333,0,0.333333333333333,0,NA,NA
Saudi data used,No,2,Causal,Conflating task,0,0,0,NA,NA,NA,NA,NA,NA,NA
Number of authors,1-2,1,Descriptive,Random error,7,2,4,28.5714285714286,57.1428571428571,0.571428571428571,0.571428571428571,0.571428571428571,0,0
Number of authors,1-2,1,Descriptive,Selection bias,11,8,0,72.7272727272727,0,0.727272727272727,0,0.727272727272727,6,75
Number of authors,1-2,1,Descriptive,Measurement bias,11,11,0,100,0,2,0,1.68181818181818,6,54.5454545454545
Number of authors,1-2,1,Descriptive,Confounding bias,0,0,0,NA,NA,NA,NA,NA,NA,NA
Number of authors,1-2,1,Descriptive,Missing data,11,1,5,9.09090909090909,45.4545454545455,0.0909090909090909,0.454545454545455,0.0909090909090909,0,0
Number of authors,1-2,1,Descriptive,Mentioning errors,11,0,3,0,27.2727272727273,0,0.272727272727273,0,NA,NA
Number of authors,1-2,1,Descriptive,Conflating task,11,6,0,54.5454545454545,0,0.545454545454545,0,0.545454545454545,NA,NA
Number of authors,1-2,1,Causal,Random error,26,12,12,46.1538461538462,46.1538461538462,0.576923076923077,0.461538461538462,0.576923076923077,2,16.6666666666667
Number of authors,1-2,1,Causal,Selection bias,28,24,26,85.7142857142857,92.8571428571429,0.892857142857143,1.03571428571429,0.892857142857143,6,25
Number of authors,1-2,1,Causal,Measurement bias,28,28,0,100,0,4.42857142857143,0,3.96428571428571,13,46.4285714285714
Number of authors,1-2,1,Causal,Confounding bias,28,25,0,89.2857142857143,0,0.892857142857143,0,0.726190485714286,6,24
Number of authors,1-2,1,Causal,Missing data,28,3,11,10.7142857142857,39.2857142857143,0.178571428571429,0.607142857142857,0.178571428571429,0,0
Number of authors,1-2,1,Causal,Mentioning errors,28,0,6,0,21.4285714285714,0,0.214285714285714,0,NA,NA
Number of authors,1-2,1,Causal,Conflating task,0,0,0,NA,NA,NA,NA,NA,NA,NA
Number of authors,3-10,2,Descriptive,Random error,42,11,27,26.1904761904762,64.2857142857143,0.285714285714286,0.642857142857143,0.285714285714286,4,36.3636363636364
Number of authors,3-10,2,Descriptive,Selection bias,53,38,0,71.6981132075472,0,0.716981132075472,0,0.716981132075472,14,36.8421052631579
Number of authors,3-10,2,Descriptive,Measurement bias,53,52,0,98.1132075471698,0,1.69811320754717,0,1.47169811320755,16,30.7692307692308
Number of authors,3-10,2,Descriptive,Confounding bias,0,0,0,NA,NA,NA,NA,NA,NA,NA
Number of authors,3-10,2,Descriptive,Missing data,53,7,14,13.2075471698113,26.4150943396226,0.132075471698113,0.264150943396226,0.132075471698113,1,14.2857142857143
Number of authors,3-10,2,Descriptive,Mentioning errors,53,0,24,0,45.2830188679245,0,0.452830188679245,0,NA,NA
Number of authors,3-10,2,Descriptive,Conflating task,53,35,0,66.0377358490566,0,0.660377358490566,0,0.660377358490566,NA,NA
Number of authors,3-10,2,Causal,Random error,127,40,73,31.496062992126,57.4803149606299,0.338582677165354,0.574803149606299,0.338582677165354,6,15
Number of authors,3-10,2,Causal,Selection bias,156,126,134,80.7692307692308,85.8974358974359,0.83974358974359,0.987179487179487,0.83974358974359,40,31.7460317460317
Number of authors,3-10,2,Causal,Measurement bias,156,156,0,100,0,4.22435897435897,0,3.84294871794872,70,44.8717948717949
Number of authors,3-10,2,Causal,Confounding bias,156,136,0,87.1794871794872,0,0.871794871794872,0,0.694444455128205,29,21.3235294117647
Number of authors,3-10,2,Causal,Missing data,156,36,54,23.0769230769231,34.6153846153846,0.320512820512821,0.5,0.304487179487179,5,13.8888888888889
Number of authors,3-10,2,Causal,Mentioning errors,156,0,49,0,31.4102564102564,0,0.314102564102564,0,NA,NA
Number of authors,3-10,2,Causal,Conflating task,0,0,0,NA,NA,NA,NA,NA,NA,NA
Number of authors,11+,3,Descriptive,Random error,6,1,4,16.6666666666667,66.6666666666667,0.166666666666667,0.666666666666667,0.166666666666667,0,0
Number of authors,11+,3,Descriptive,Selection bias,17,9,0,52.9411764705882,0,0.529411764705882,0,0.529411764705882,7,77.7777777777778
Number of authors,11+,3,Descriptive,Measurement bias,17,17,0,100,0,1.70588235294118,0,1.5,5,29.4117647058824
Number of authors,11+,3,Descriptive,Confounding bias,0,0,0,NA,NA,NA,NA,NA,NA,NA
Number of authors,11+,3,Descriptive,Missing data,17,3,6,17.6470588235294,35.2941176470588,0.176470588235294,0.352941176470588,0.176470588235294,1,33.3333333333333
Number of authors,11+,3,Descriptive,Mentioning errors,17,0,6,0,35.2941176470588,0,0.352941176470588,0,NA,NA
Number of authors,11+,3,Descriptive,Conflating task,17,11,0,64.7058823529412,0,0.647058823529412,0,0.647058823529412,NA,NA
Number of authors,11+,3,Causal,Random error,37,8,23,21.6216216216216,62.1621621621622,0.243243243243243,0.621621621621622,0.243243243243243,0,0
Number of authors,11+,3,Causal,Selection bias,45,33,40,73.3333333333333,88.8888888888889,0.755555555555556,1.08888888888889,0.755555555555556,11,33.3333333333333
Number of authors,11+,3,Causal,Measurement bias,45,45,0,100,0,3.86666666666667,0,3.55555555555556,19,42.2222222222222
Number of authors,11+,3,Causal,Confounding bias,45,40,0,88.8888888888889,0,0.888888888888889,0,0.651851864444444,13,32.5
Number of authors,11+,3,Causal,Missing data,45,13,18,28.8888888888889,40,0.377777777777778,0.511111111111111,0.377777777777778,1,7.69230769230769
Number of authors,11+,3,Causal,Mentioning errors,45,0,10,0,22.2222222222222,0,0.222222222222222,0,NA,NA
Number of authors,11+,3,Causal,Conflating task,0,0,0,NA,NA,NA,NA,NA,NA,NA
% Saudi authors,>=50%,1,Descriptive,Random error,37,8,24,21.6216216216216,64.8648648648649,0.297297297297297,0.648648648648649,0.297297297297297,3,37.5
% Saudi authors,>=50%,1,Descriptive,Selection bias,55,38,0,69.0909090909091,0,0.690909090909091,0,0.690909090909091,20,52.6315789473684
% Saudi authors,>=50%,1,Descriptive,Measurement bias,55,55,0,100,0,1.83636363636364,0,1.57272727272727,17,30.9090909090909
% Saudi authors,>=50%,1,Descriptive,Confounding bias,0,0,0,NA,NA,NA,NA,NA,NA,NA
% Saudi authors,>=50%,1,Descriptive,Missing data,55,9,15,16.3636363636364,27.2727272727273,0.163636363636364,0.272727272727273,0.163636363636364,1,11.1111111111111
% Saudi authors,>=50%,1,Descriptive,Mentioning errors,55,0,22,0,40,0,0.4,0,NA,NA
% Saudi authors,>=50%,1,Descriptive,Conflating task,55,34,0,61.8181818181818,0,0.618181818181818,0,0.618181818181818,NA,NA
% Saudi authors,>=50%,1,Causal,Random error,118,45,57,38.135593220339,48.3050847457627,0.440677966101695,0.483050847457627,0.440677966101695,6,13.3333333333333
% Saudi authors,>=50%,1,Causal,Selection bias,145,115,128,79.3103448275862,88.2758620689655,0.83448275862069,0.979310344827586,0.83448275862069,37,32.1739130434783
% Saudi authors,>=50%,1,Causal,Measurement bias,145,145,0,100,0,4.36551724137931,0,3.96896551724138,61,42.0689655172414
% Saudi authors,>=50%,1,Causal,Confounding bias,145,129,0,88.9655172413793,0,0.889655172413793,0,0.71494253862069,29,22.4806201550388
% Saudi authors,>=50%,1,Causal,Missing data,145,22,52,15.1724137931034,35.8620689655172,0.213793103448276,0.517241379310345,0.201724137931034,0,0
% Saudi authors,>=50%,1,Causal,Mentioning errors,145,0,43,0,29.6551724137931,0,0.296551724137931,0,NA,NA
% Saudi authors,>=50%,1,Causal,Conflating task,0,0,0,NA,NA,NA,NA,NA,NA,NA
% Saudi authors,<50%,2,Descriptive,Random error,18,6,11,33.3333333333333,61.1111111111111,0.333333333333333,0.611111111111111,0.333333333333333,1,16.6666666666667
% Saudi authors,<50%,2,Descriptive,Selection bias,26,17,0,65.3846153846154,0,0.653846153846154,0,0.653846153846154,7,41.1764705882353
% Saudi authors,<50%,2,Descriptive,Measurement bias,26,25,0,96.1538461538462,0,1.53846153846154,0,1.36538461538462,10,40
% Saudi authors,<50%,2,Descriptive,Confounding bias,0,0,0,NA,NA,NA,NA,NA,NA,NA
% Saudi authors,<50%,2,Descriptive,Missing data,26,2,10,7.69230769230769,38.4615384615385,0.0769230769230769,0.384615384615385,0.0769230769230769,1,50
% Saudi authors,<50%,2,Descriptive,Mentioning errors,26,0,11,0,42.3076923076923,0,0.423076923076923,0,NA,NA
