PMID,Study_Type,n_applicable,n_rep_gaps,n_val_flags,error_weighted,transparency,validity,validity_weighted,domains_flagged,dom_gapped,ack_flagged,ack_named,acknowledgement,Saudi data used,Number of authors,% Saudi authors,Corresponding author,First author,Last author,Sector composition,Single vs multi-sector,JCR 2022 quartile,JCR Q1-2 vs Q3-4,Funding
STUDY-0400,Causal,14,4,9,8,0.714285714285714,0.1,0.2,3,2,3,3,1,No,3-10,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Health-system,Single-sector,Q2,Q1-Q2,Funded
STUDY-1007,Descriptive,7,2,3,2.5,0.714285714285714,0.4,0.5,2,2,2,1,0.5,Yes,1-2,>=50%,Saudi,Saudi,Saudi,Health-system,Multi-sector,Q3,Q3-Q4,Not stated
STUDY-0995,Causal,12,3,3,2.6666667,0.75,0.666666666666667,0.7037037,2,2,2,1,0.5,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Health-system,Single-sector,Q3,Q3-Q4,Not stated
STUDY-0405,Causal,15,2,7,6.1666667,0.866666666666667,0.461538461538462,0.525641023076923,3,1,3,1,0.333333333333333,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,Q3,Q3-Q4,Declared none
STUDY-0531,Descriptive,7,1,4,4,0.857142857142857,0.333333333333333,0.333333333333333,3,1,2,1,0.5,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Health-system,Single-sector,Q3,Q3-Q4,Declared none
STUDY-0106,Descriptive,7,1,4,4,0.857142857142857,0.333333333333333,0.333333333333333,3,1,2,1,0.5,Yes,1-2,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,Q4,Q3-Q4,Declared none
STUDY-0527,Causal,16,1,8,7,0.9375,0.466666666666667,0.533333333333333,3,0,3,1,0.333333333333333,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Health-system,Multi-sector,Q1,Q1-Q2,Funded
STUDY-0436,Causal,15,4,7,6.1666667,0.733333333333333,0.363636363636364,0.439393936363636,3,3,3,0,0,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Health-system,Multi-sector,Q4,Q3-Q4,Not stated
STUDY-0427,Causal,13,4,7,6.5,0.692307692307692,0.222222222222222,0.277777777777778,3,2,3,1,0.333333333333333,Yes,1-2,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,Q3,Q3-Q4,Funded
STUDY-0172,Causal,17,3,9,7.8333333,0.823529411764706,0.357142857142857,0.440476192857143,4,1,4,2,0.5,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,Q2,Q1-Q2,Declared none
STUDY-0177,Descriptive,9,0,5,4.5,1,0.444444444444444,0.5,3,0,3,1,0.333333333333333,Yes,1-2,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,Q3,Q3-Q4,Declared none
STUDY-0393,Descriptive,7,0,3,2.5,1,0.571428571428571,0.642857142857143,2,0,2,2,1,Yes,11+,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Health-system,Single-sector,Q1,Q1-Q2,Funded
STUDY-0774,Causal,17,3,5,4,0.823529411764706,0.642857142857143,0.714285714285714,2,2,2,0,0,Yes,3-10,>=50%,Saudi,Saudi,Non-Saudi,Academic-only,Single-sector,Q2,Q1-Q2,Not stated
STUDY-0880,Causal,12,3,3,2.3333333,0.75,0.666666666666667,0.740740744444444,2,2,2,1,0.5,Yes,11+,>=50%,Saudi,Saudi,Saudi,Health-system,Multi-sector,Q4,Q3-Q4,Not stated
STUDY-0914,Descriptive,5,0,2,2,1,0.6,0.6,2,0,1,1,1,No,3-10,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Health-system,Single-sector,Q3,Q3-Q4,Not stated
STUDY-0104,Causal,17,0,6,5.6666667,1,0.647058823529412,0.666666664705882,3,0,3,1,0.333333333333333,Yes,1-2,>=50%,Saudi,Saudi,Saudi,Academic-only,Single-sector,Q3,Q3-Q4,Not stated
STUDY-0537,Descriptive,5,0,1,1,1,0.8,0.8,1,0,1,0,0,Yes,3-10,>=50%,Saudi,Saudi,Saudi,Health-system,Single-sector,Q4,Q3-Q4,Declared none
STUDY-0658,Causal,18,3,7,6.6666667,0.833333333333333,0.533333333333333,0.555555553333333,4,1,4,1,0.25,No,11+,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Health-system,Single-sector,Q2,Q1-Q2,Funded
STUDY-0737,Descriptive,5,0,2,2,1,0.6,0.6,2,0,1,0,0,Yes,11+,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Health-system,Single-sector,Q1,Q1-Q2,Not stated
STUDY-0220,Causal,14,4,4,4,0.714285714285714,0.6,0.6,2,2,2,1,0.5,No,3-10,>=50%,Saudi,Saudi,Non-Saudi,Academic-only,Single-sector,Q1,Q1-Q2,Not stated
STUDY-0994,Causal,15,2,4,3.1666667,0.866666666666667,0.692307692307692,0.756410253846154,2,2,2,2,1,No,11+,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Academic-only,Single-sector,Q2,Q1-Q2,Funded
STUDY-0499,Causal,18,1,7,6.5,0.944444444444444,0.588235294117647,0.617647058823529,4,0,4,1,0.25,Yes,3-10,>=50%,Saudi,Saudi,Non-Saudi,Academic-only,Single-sector,Q2,Q1-Q2,Funded
STUDY-0350,Descriptive,9,1,5,4.5,0.888888888888889,0.375,0.4375,4,1,3,2,0.666666666666667,No,11+,<50%,Non-Saudi,Non-Saudi,Non-Saudi,Academic-only,Multi-sector,Q1,Q1-Q2,Funded
