stratifier,task,measure,n_levels,spread,lo_level,lo_val,lo_n,hi_level,hi_val,hi_n,task_mean
Saudi data used,Descriptive,mean_err_w,2,0.119940029985008,No,3.08695652173913,23,Yes,3.20689655172414,58,3.17283950617284
Saudi data used,Descriptive,mean_val_err,2,0.204647676161919,No,3.26086956521739,23,Yes,3.46551724137931,58,3.40740740740741
Saudi data used,Descriptive,mean_rep_gap,2,0.339580209895052,Yes,1.05172413793103,58,No,1.39130434782609,23,1.14814814814815
Saudi data used,Descriptive,mean_validity,2,0.00108249446705228,No,0.430779848171152,23,Yes,0.431862342638205,58,0.431554967666079
Saudi data used,Descriptive,mean_transparency,2,0.0502656409890293,No,0.796963423050379,23,Yes,0.847229064039409,58,0.832956104252401
Saudi data used,Descriptive,mean_dom_flag,2,0.0487256371814091,Yes,2.60344827586207,58,No,2.65217391304348,23,2.61728395061728
Saudi data used,Descriptive,mean_dom_gap,2,0.339580209895052,Yes,1.05172413793103,58,No,1.39130434782609,23,1.14814814814815
Saudi data used,Descriptive,pct_ge3,2,12.5187406296852,No,47.8260869565217,23,Yes,60.3448275862069,58,56.7901234567901
Saudi data used,Descriptive,pct_val,2,0.312708376445698,No,45.8646616541353,23,Yes,46.177370030581,58,46.0885762940594
Saudi data used,Descriptive,pct_worst,2,5.09300774872962,Yes,64.8318042813456,58,No,69.9248120300752,23,66.2779669754293
Saudi data used,Descriptive,mean_ack,2,0.0319215392303848,Yes,0.33764367816092,58,No,0.369565217391304,23,0.346707818930041
Saudi data used,Causal,mean_err_w,2,0.487170144536183,No,5.61494254137931,87,Yes,6.10211268591549,142,5.91703057860262
Saudi data used,Causal,mean_val_err,2,0.517727051966975,No,6.17241379310345,87,Yes,6.69014084507042,142,6.49344978165939
Saudi data used,Causal,mean_rep_gap,2,0.357859802493119,Yes,2.14788732394366,142,No,2.50574712643678,87,2.28384279475983
Saudi data used,Causal,mean_validity,2,0.031573200675849,Yes,0.473142117249408,142,No,0.504715317925257,87,0.485137176021455
Saudi data used,Causal,mean_transparency,2,0.0222216055338441,No,0.831218790402627,87,Yes,0.853440395936471,142,0.844998126585186
Saudi data used,Causal,mean_dom_flag,2,0.0451675570665375,No,3.13793103448276,87,Yes,3.1830985915493,142,3.16593886462882
Saudi data used,Causal,mean_dom_gap,2,0.181722519022179,Yes,1.1056338028169,142,No,1.28735632183908,87,1.17467248908297
Saudi data used,Causal,pct_ge3,2,4.67864659219687,No,77.0114942528736,87,Yes,81.6901408450704,142,79.9126637554585
Saudi data used,Causal,pct_val,2,1.08697203366045,No,53.6345776031434,87,Yes,54.7215496368039,142,54.3085951960682
Saudi data used,Causal,pct_worst,2,1.90969331690586,Yes,73.728813559322,142,No,75.6385068762279,87,74.4543302343037
Saudi data used,Causal,mean_ack,2,0.00566348281258433,Yes,0.307746478873239,142,No,0.313409961685824,87,0.309898107714702
Number of authors,Descriptive,mean_err_w,3,0.497326203208556,11+,2.91176470588235,17,1-2,3.40909090909091,11,3.17283950617284
Number of authors,Descriptive,mean_val_err,3,0.609625668449198,11+,3.11764705882353,17,1-2,3.72727272727273,11,3.40740740740741
Number of authors,Descriptive,mean_rep_gap,3,0.285238623751387,11+,0.941176470588235,17,3-10,1.22641509433962,53,1.14814814814815
Number of authors,Descriptive,mean_validity,3,0.0613169510228335,1-2,0.385858585858586,11,11+,0.447175536881419,17,0.431554967666079
Number of authors,Descriptive,mean_transparency,3,0.0295874953755086,3-10,0.82571129080563,53,11+,0.855298786181139,17,0.8329561042524
Number of authors,Descriptive,mean_dom_flag,3,0.286348501664817,11+,2.41176470588235,17,3-10,2.69811320754717,53,2.61728395061728
Number of authors,Descriptive,mean_dom_gap,3,0.285238623751387,11+,0.941176470588235,17,3-10,1.22641509433962,53,1.14814814814815
Number of authors,Descriptive,pct_ge3,3,13.3185349611543,11+,47.0588235294118,17,3-10,60.377358490566,53,56.7901234567901
Number of authors,Descriptive,pct_val,3,1.52485950531553,11+,45.0549450549451,17,3-10,46.5798045602606,53,46.067134582423
Number of authors,Descriptive,pct_worst,3,5.11508035938004,11+,62.6373626373626,17,3-10,67.7524429967427,53,66.2394081853996
Number of authors,Descriptive,mean_ack,3,0.220554602630074,3-10,0.309748427672956,53,1-2,0.53030303030303,11,0.346707818930041
Number of authors,Causal,mean_err_w,3,0.756878303809525,11+,5.54074075333333,45,1-2,6.29761905714286,28,5.91703057860262
Number of authors,Causal,mean_val_err,3,0.83968253968254,11+,6.08888888888889,45,1-2,6.92857142857143,28,6.49344978165939
Number of authors,Causal,mean_rep_gap,3,0.0641025641025643,3-10,2.26923076923077,156,11+,2.33333333333333,45,2.28384279475983
Number of authors,Causal,mean_validity,3,0.0611831227570023,1-2,0.463737455938086,28,11+,0.524920578695088,45,0.485137176021456
Number of authors,Causal,mean_transparency,3,0.00346466281819358,11+,0.843567611630047,45,1-2,0.847032274448241,28,0.844998126585186
Number of authors,Causal,mean_dom_flag,3,0.196825396825397,11+,3.08888888888889,45,1-2,3.28571428571429,28,3.16593886462882
Number of authors,Causal,mean_dom_gap,3,0.0787545787545787,1-2,1.10714285714286,28,3-10,1.18589743589744,156,1.17467248908297
Number of authors,Causal,pct_ge3,3,13.7301587301587,11+,75.5555555555556,45,1-2,89.2857142857143,28,79.9126637554585
Number of authors,Causal,pct_val,3,2.36825163248413,11+,53.0534351145038,45,1-2,55.421686746988,28,54.3047770654491
Number of authors,Causal,pct_worst,3,1.57974027285658,11+,73.2824427480916,45,3-10,74.8621830209482,156,74.4581190834618
Number of authors,Causal,mean_ack,3,0.0299206349206349,1-2,0.301190476190476,28,11+,0.331111111111111,45,0.309898107714702
% Saudi authors,Descriptive,mean_err_w,2,0.226223776223776,<50%,3.01923076923077,26,>=50%,3.24545454545455,55,3.17283950617284
% Saudi authors,Descriptive,mean_val_err,2,0.316783216783217,<50%,3.19230769230769,26,>=50%,3.50909090909091,55,3.40740740740741
% Saudi authors,Descriptive,mean_rep_gap,2,0.121678321678322,>=50%,1.10909090909091,55,<50%,1.23076923076923,26,1.14814814814815
% Saudi authors,Descriptive,mean_validity,2,0.0269846819846819,>=50%,0.422893217893218,55,<50%,0.4498778998779,26,0.431554967666079
% Saudi authors,Descriptive,mean_transparency,2,0.0170443445443446,<50%,0.821382783882784,26,>=50%,0.838427128427128,55,0.8329561042524
% Saudi authors,Descriptive,mean_dom_flag,2,0.00279720279720275,<50%,2.61538461538462,26,>=50%,2.61818181818182,55,2.61728395061728
% Saudi authors,Descriptive,mean_dom_gap,2,0.121678321678322,>=50%,1.10909090909091,55,<50%,1.23076923076923,26,1.14814814814815
% Saudi authors,Descriptive,pct_ge3,2,10,<50%,50,26,>=50%,60,55,56.7901234567901
% Saudi authors,Descriptive,pct_val,2,0.207900207900209,<50%,45.9459459459459,26,>=50%,46.1538461538462,55,46.0871127537794
% Saudi authors,Descriptive,pct_worst,2,1.86243936243936,>=50%,65.7051282051282,55,<50%,67.5675675675676,26,66.3029482473927
% Saudi authors,Descriptive,mean_ack,2,0.0463869463869464,>=50%,0.331818181818182,55,<50%,0.378205128205128,26,0.346707818930041
% Saudi authors,Causal,mean_err_w,2,0.440838803973728,<50%,5.63789683809524,84,>=50%,6.07873564206897,145,5.91703057860262
% Saudi authors,Causal,mean_val_err,2,0.459688013136289,<50%,6.20238095238095,84,>=50%,6.66206896551724,145,6.49344978165939
% Saudi authors,Causal,mean_rep_gap,2,0.266174055829228,>=50%,2.18620689655172,145,<50%,2.45238095238095,84,2.28384279475983
% Saudi authors,Causal,mean_validity,2,0.0276924581691317,>=50%,0.474979243767276,145,<50%,0.502671701936408,84,0.485137176021456
% Saudi authors,Causal,mean_transparency,2,0.0162076552611999,<50%,0.834735637445998,84,>=50%,0.850943292707198,145,0.844998126585186
% Saudi authors,Causal,mean_dom_flag,2,0.0575533661740559,>=50%,3.1448275862069,145,<50%,3.20238095238095,84,3.16593886462882
% Saudi authors,Causal,mean_dom_gap,2,0.100164203612479,>=50%,1.13793103448276,145,<50%,1.23809523809524,84,1.17467248908297
% Saudi authors,Causal,pct_ge3,2,1.64203612479474,>=50%,79.3103448275862,145,<50%,80.9523809523809,84,79.9126637554585
% Saudi authors,Causal,pct_val,2,0.582270057576018,>=50%,54.0925266903915,145,<50%,54.6747967479675,84,54.3061104669696
% Saudi authors,Causal,pct_worst,2,2.14752770303504,>=50%,73.6654804270463,145,<50%,75.8130081300813,84,74.4532198465002
% Saudi authors,Causal,mean_ack,2,0.0338779419813902,>=50%,0.297471264367816,145,<50%,0.331349206349206,84,0.309898107714702
Corresponding author,Descriptive,mean_err_w,2,0.119940029985008,Non-Saudi,3.08695652173913,23,Saudi,3.20689655172414,58,3.17283950617284
Corresponding author,Descriptive,mean_val_err,2,0.204647676161919,Non-Saudi,3.26086956521739,23,Saudi,3.46551724137931,58,3.40740740740741
Corresponding author,Descriptive,mean_rep_gap,2,0.0854572713643178,Non-Saudi,1.08695652173913,23,Saudi,1.17241379310345,58,1.14814814814815
Corresponding author,Descriptive,mean_validity,2,0.0251329692296708,Saudi,0.424418445539135,58,Non-Saudi,0.449551414768806,23,0.431554967666079
Corresponding author,Descriptive,mean_transparency,2,0.0135863615811143,Saudi,0.8290982484948,58,Non-Saudi,0.842684610075914,23,0.8329561042524
Corresponding author,Descriptive,mean_dom_flag,2,0.0119940029985006,Non-Saudi,2.60869565217391,23,Saudi,2.62068965517241,58,2.61728395061728
Corresponding author,Descriptive,mean_dom_gap,2,0.0854572713643178,Non-Saudi,1.08695652173913,23,Saudi,1.17241379310345,58,1.14814814814815
Corresponding author,Descriptive,pct_ge3,2,6.44677661169415,Non-Saudi,52.1739130434783,23,Saudi,58.6206896551724,58,56.7901234567901
Corresponding author,Descriptive,pct_val,2,0.093240093240091,Saudi,46.0606060606061,58,Non-Saudi,46.1538461538462,23,46.0870816426372
Corresponding author,Descriptive,pct_worst,2,1.28205128205128,Non-Saudi,65.3846153846154,23,Saudi,66.6666666666667,58,66.3026274137385
Corresponding author,Descriptive,mean_ack,2,0.14324087956022,Saudi,0.306034482758621,58,Non-Saudi,0.449275362318841,23,0.346707818930041
Corresponding author,Causal,mean_err_w,2,0.167498762287506,Non-Saudi,5.8102409746988,83,Saudi,5.9777397369863,146,5.91703057860262
Corresponding author,Causal,mean_val_err,2,0.169252351873246,Non-Saudi,6.3855421686747,83,Saudi,6.55479452054795,146,6.49344978165939
Corresponding author,Causal,mean_rep_gap,2,0.27289981845189,Saudi,2.18493150684932,146,Non-Saudi,2.4578313253012,83,2.28384279475983
Corresponding author,Causal,mean_validity,2,0.00663211731366298,Saudi,0.48273339551039,146,Non-Saudi,0.489365512824053,83,0.485137176021455
Corresponding author,Causal,mean_transparency,2,0.0163637162151705,Non-Saudi,0.834565364282064,83,Saudi,0.850929080497234,146,0.844998126585186
Corresponding author,Causal,mean_dom_flag,2,0.11767618418881,Saudi,3.12328767123288,146,Non-Saudi,3.24096385542169,83,3.16593886462882
Corresponding author,Causal,mean_dom_gap,2,0.0472850305330914,Saudi,1.15753424657534,146,Non-Saudi,1.20481927710843,83,1.17467248908297
Corresponding author,Causal,pct_ge3,2,3.16058755570225,Saudi,78.7671232876712,146,Non-Saudi,81.9277108433735,83,79.9126637554585
Corresponding author,Causal,pct_val,2,1.28587880078193,Saudi,53.8370720188902,146,Non-Saudi,55.1229508196721,83,54.3031328942828
Corresponding author,Causal,pct_worst,2,1.8249075812414,Saudi,73.7898465171192,146,Non-Saudi,75.6147540983606,83,74.45127590246
Corresponding author,Causal,mean_ack,2,0.02825411233977,Saudi,0.299657534246575,146,Non-Saudi,0.327911646586345,83,0.309898107714702
First author,Descriptive,mean_err_w,2,0.143682588597843,Non-Saudi,3.06818181818182,22,Saudi,3.21186440677966,59,3.17283950617284
First author,Descriptive,mean_val_err,2,0.247303543913714,Non-Saudi,3.22727272727273,22,Saudi,3.47457627118644,59,3.40740740740741
First author,Descriptive,mean_rep_gap,2,0.078582434514638,Non-Saudi,1.09090909090909,22,Saudi,1.16949152542373,59,1.14814814814815
First author,Descriptive,mean_validity,2,0.0361196712891628,Saudi,0.421744686575195,59,Non-Saudi,0.457864357864358,22,0.431554967666079
First author,Descriptive,mean_transparency,2,0.0124538361826497,Saudi,0.829573580844767,59,Non-Saudi,0.842027417027417,22,0.8329561042524
First author,Descriptive,mean_dom_flag,2,0.0261941448382124,Saudi,2.61016949152542,59,Non-Saudi,2.63636363636364,22,2.61728395061728
First author,Descriptive,mean_dom_gap,2,0.078582434514638,Non-Saudi,1.09090909090909,22,Saudi,1.16949152542373,59,1.14814814814815
First author,Descriptive,pct_ge3,2,3.08166409861326,Non-Saudi,54.5454545454545,22,Saudi,57.6271186440678,59,56.7901234567901
First author,Descriptive,pct_val,2,0.94086021505376,Saudi,45.8333333333333,59,Non-Saudi,46.7741935483871,22,46.0888756139652
First author,Descriptive,pct_worst,2,0.240015360983108,Non-Saudi,66.1290322580645,22,Saudi,66.3690476190476,59,66.3038582617436
First author,Descriptive,mean_ack,2,0.106445814072933,Saudi,0.317796610169492,59,Non-Saudi,0.424242424242424,22,0.346707818930041
First author,Causal,mean_err_w,2,0.326647583057074,Non-Saudi,5.70021646233766,77,Saudi,6.02686404539474,152,5.91703057860262
First author,Causal,mean_val_err,2,0.31296992481203,Non-Saudi,6.28571428571429,77,Saudi,6.59868421052632,152,6.49344978165939
First author,Causal,mean_rep_gap,2,0.257177033492823,Saudi,2.19736842105263,152,Non-Saudi,2.45454545454545,77,2.28384279475983
First author,Causal,mean_validity,2,0.0247303149617216,Saudi,0.476821742606379,152,Non-Saudi,0.5015520575681,77,0.485137176021455
First author,Causal,mean_transparency,2,0.014317953240094,Non-Saudi,0.835494506967307,77,Saudi,0.849812460207401,152,0.844998126585186
First author,Causal,mean_dom_flag,2,0.102187286397812,Saudi,3.13157894736842,152,Non-Saudi,3.23376623376623,77,3.16593886462882
First author,Causal,mean_dom_gap,2,0.0303315105946684,Saudi,1.16447368421053,152,Non-Saudi,1.19480519480519,77,1.17467248908297
First author,Causal,pct_ge3,2,4.82740943267258,Saudi,78.2894736842105,152,Non-Saudi,83.1168831168831,77,79.9126637554585
First author,Causal,pct_val,2,0.816303059698882,Saudi,54.0295119182747,152,Non-Saudi,54.8458149779736,77,54.3039893662957
First author,Causal,pct_worst,2,0.989814337931961,Saudi,74.1203178206583,152,Non-Saudi,75.1101321585903,77,74.4531374888713
First author,Causal,mean_ack,2,0.0304155274550011,Saudi,0.299671052631579,152,Non-Saudi,0.33008658008658,77,0.309898107714702
Last author,Descriptive,mean_err_w,2,0.0362745098039214,Non-Saudi,3.15,30,Saudi,3.18627450980392,51,3.17283950617284
Last author,Descriptive,mean_val_err,2,0.117647058823529,Non-Saudi,3.33333333333333,30,Saudi,3.45098039215686,51,3.40740740740741
Last author,Descriptive,mean_rep_gap,2,0.0823529411764705,Saudi,1.11764705882353,51,Non-Saudi,1.2,30,1.14814814814815
Last author,Descriptive,mean_validity,2,0.00063958916900092,Saudi,0.431318082788671,51,Non-Saudi,0.431957671957672,30,0.431554967666079
Last author,Descriptive,mean_transparency,2,0.0123840647370058,Non-Saudi,0.82515873015873,30,Saudi,0.837542794895736,51,0.8329561042524
Last author,Descriptive,mean_dom_flag,2,0.131372549019608,Saudi,2.56862745098039,51,Non-Saudi,2.7,30,2.61728395061728
Last author,Descriptive,mean_dom_gap,2,0.0823529411764705,Saudi,1.11764705882353,51,Non-Saudi,1.2,30,1.14814814814815
Last author,Descriptive,pct_ge3,2,5.49019607843137,Non-Saudi,53.3333333333333,30,Saudi,58.8235294117647,51,56.7901234567901
Last author,Descriptive,pct_val,2,2.47464503042597,Saudi,45.1724137931034,51,Non-Saudi,47.6470588235294,30,46.0889489895575
Last author,Descriptive,pct_worst,2,3.99594320486815,Saudi,64.8275862068966,51,Non-Saudi,68.8235294117647,30,66.3075651716625
Last author,Descriptive,mean_ack,2,0.00964052287581701,Saudi,0.343137254901961,51,Non-Saudi,0.352777777777778,30,0.346707818930041
Last author,Causal,mean_err_w,2,0.229303728931704,Non-Saudi,5.78385417708333,96,Saudi,6.01315790601504,133,5.91703057860262
Last author,Causal,mean_val_err,2,0.203947368421052,Non-Saudi,6.375,96,Saudi,6.57894736842105,133,6.49344978165939
Last author,Causal,mean_rep_gap,2,0.085213032581454,Saudi,2.24812030075188,133,Non-Saudi,2.33333333333333,96,2.28384279475983
