PMID,team_cat
STUDY-0400,3-10
STUDY-1007,1-2
STUDY-0995,3-10
STUDY-0455,3-10
STUDY-0405,3-10
STUDY-0531,3-10
STUDY-0106,1-2
STUDY-0527,3-10
STUDY-0436,3-10
STUDY-0427,1-2
STUDY-0837,3-10
STUDY-0445,3-10
STUDY-0172,3-10
STUDY-0177,1-2
STUDY-0393,11+
STUDY-0843,1-2
STUDY-0774,3-10
STUDY-0880,11+
STUDY-0914,3-10
STUDY-0250,3-10
STUDY-0104,1-2
STUDY-0537,3-10
STUDY-0658,11+
STUDY-0737,11+
STUDY-0220,3-10
STUDY-0994,11+
STUDY-0499,3-10
STUDY-0350,11+
STUDY-0354,3-10
STUDY-0839,3-10
STUDY-0750,3-10
STUDY-0259,3-10
STUDY-0707,11+
STUDY-0431,3-10
STUDY-0821,11+
STUDY-1022,3-10
STUDY-0145,11+
STUDY-0385,1-2
STUDY-0397,3-10
STUDY-0532,3-10
STUDY-0284,3-10
STUDY-0663,3-10
STUDY-0970,11+
STUDY-0304,3-10
STUDY-0487,3-10
STUDY-0362,3-10
STUDY-0123,1-2
STUDY-0731,3-10
STUDY-0322,3-10
STUDY-0159,3-10
STUDY-0419,1-2
STUDY-0333,11+
STUDY-0046,3-10
STUDY-0355,3-10
STUDY-0845,3-10
STUDY-0555,11+
STUDY-0945,3-10
STUDY-0365,3-10
STUDY-0023,3-10
STUDY-0817,3-10
STUDY-0170,3-10
STUDY-0442,1-2
STUDY-0007,3-10
STUDY-0026,3-10
STUDY-0048,11+
STUDY-0326,3-10
STUDY-0563,1-2
STUDY-0144,1-2
STUDY-0045,3-10
STUDY-0041,3-10
STUDY-0418,3-10
STUDY-0234,3-10
STUDY-0275,3-10
STUDY-0788,3-10
STUDY-0521,3-10
STUDY-0346,1-2
STUDY-0192,3-10
STUDY-0049,3-10
STUDY-0012,1-2
STUDY-0171,3-10
STUDY-0141,11+
STUDY-0671,3-10
STUDY-0924,1-2
STUDY-0182,3-10
STUDY-0597,11+
STUDY-0149,11+
STUDY-0256,3-10
STUDY-0830,3-10
STUDY-0157,3-10
STUDY-0972,11+
STUDY-0766,1-2
STUDY-0552,3-10
STUDY-0257,1-2
STUDY-0819,3-10
STUDY-0611,3-10
STUDY-0942,11+
STUDY-0492,1-2
STUDY-0739,11+
STUDY-0306,3-10
STUDY-0685,1-2
STUDY-0112,3-10
STUDY-0613,3-10
STUDY-0522,1-2
STUDY-0792,3-10
STUDY-0248,11+
STUDY-0189,11+
STUDY-0701,11+
STUDY-0835,11+
STUDY-0040,11+
STUDY-0402,3-10
STUDY-0239,3-10
STUDY-0977,3-10
STUDY-0429,3-10
STUDY-0589,3-10
STUDY-0721,3-10
STUDY-0933,3-10
STUDY-0330,3-10
STUDY-0922,11+
STUDY-0600,1-2
STUDY-0119,11+
STUDY-0251,3-10
STUDY-0932,3-10
STUDY-0749,11+
STUDY-0517,3-10
STUDY-0210,3-10
STUDY-0923,3-10
STUDY-0214,3-10
STUDY-0565,3-10
STUDY-0899,3-10
STUDY-0094,11+
STUDY-0809,11+
STUDY-0793,3-10
STUDY-0627,3-10
STUDY-0126,3-10
STUDY-0387,3-10
STUDY-0700,3-10
STUDY-0805,1-2
STUDY-0401,11+
STUDY-0780,3-10
STUDY-0184,3-10
STUDY-0205,3-10
STUDY-0740,3-10
STUDY-0930,3-10
STUDY-0822,3-10
STUDY-1026,1-2
STUDY-0649,3-10
STUDY-0258,3-10
STUDY-0446,3-10
STUDY-0133,3-10
STUDY-0542,1-2
STUDY-0337,1-2
STUDY-0702,3-10
STUDY-0541,11+
STUDY-0840,3-10
STUDY-0447,3-10
STUDY-0634,3-10
STUDY-0037,3-10
STUDY-1021,3-10
STUDY-0268,3-10
STUDY-0449,3-10
STUDY-0943,3-10
STUDY-0760,3-10
STUDY-0549,3-10
STUDY-0161,3-10
STUDY-0064,3-10
STUDY-0952,3-10
STUDY-0471,3-10
STUDY-0135,3-10
STUDY-0963,3-10
STUDY-0892,3-10
STUDY-0494,11+
STUDY-0577,3-10
STUDY-0598,3-10
STUDY-0093,3-10
STUDY-0006,3-10
STUDY-0386,3-10
STUDY-0698,3-10
STUDY-0603,1-2
STUDY-1001,3-10
STUDY-0423,11+
STUDY-0086,3-10
STUDY-0207,3-10
STUDY-0810,3-10
STUDY-0109,3-10
STUDY-1016,1-2
STUDY-0473,11+
STUDY-0295,3-10
STUDY-0516,11+
STUDY-0803,3-10
STUDY-0307,11+
STUDY-0560,1-2
STUDY-0132,3-10
STUDY-0852,3-10
STUDY-0231,3-10
STUDY-0595,3-10
STUDY-0129,3-10
STUDY-0834,3-10
STUDY-0865,3-10
STUDY-0339,3-10
STUDY-0773,3-10
STUDY-0744,3-10
STUDY-0475,3-10
STUDY-0853,3-10
STUDY-0403,3-10
STUDY-0628,3-10
STUDY-0653,3-10
STUDY-0005,11+
STUDY-0297,1-2
STUDY-0162,3-10
STUDY-0728,3-10
STUDY-0984,3-10
STUDY-0590,1-2
STUDY-0440,3-10
STUDY-0450,3-10
STUDY-0416,1-2
STUDY-0557,1-2
STUDY-0373,3-10
STUDY-0352,3-10
STUDY-0382,3-10
STUDY-0468,3-10
STUDY-0715,11+
STUDY-0665,3-10
STUDY-0988,3-10
STUDY-0252,1-2
STUDY-0986,1-2
STUDY-0781,3-10
STUDY-0360,3-10
STUDY-0199,3-10
STUDY-1003,3-10
STUDY-0062,3-10
STUDY-0525,3-10
STUDY-0351,1-2
STUDY-0630,3-10
STUDY-0477,3-10
STUDY-0335,3-10
STUDY-0096,3-10
STUDY-0032,3-10
STUDY-0778,11+
STUDY-0878,11+
STUDY-0864,3-10
STUDY-0902,3-10
STUDY-0659,3-10
STUDY-0345,3-10
STUDY-0472,3-10
STUDY-0331,11+
STUDY-0901,3-10
STUDY-0476,1-2
STUDY-1010,3-10
STUDY-1013,3-10
STUDY-0137,1-2
STUDY-0194,3-10
STUDY-0736,3-10
STUDY-0312,11+
STUDY-0808,3-10
STUDY-0647,11+
STUDY-0978,3-10
STUDY-0188,3-10
STUDY-0940,11+
STUDY-0936,3-10
STUDY-0605,3-10
STUDY-0889,3-10
STUDY-0084,11+
STUDY-1024,3-10
STUDY-0415,3-10
STUDY-0426,11+
STUDY-0824,3-10
STUDY-0974,11+
STUDY-0422,1-2
STUDY-0679,11+
STUDY-0115,11+
STUDY-0764,3-10
STUDY-0931,3-10
STUDY-0677,3-10
STUDY-0320,3-10
STUDY-0110,3-10
STUDY-0280,11+
STUDY-0434,3-10
STUDY-0237,11+
STUDY-0825,3-10
STUDY-0329,1-2
STUDY-0101,3-10
STUDY-0561,3-10
STUDY-0130,3-10
STUDY-0083,3-10
STUDY-0633,3-10
STUDY-0876,3-10
STUDY-0669,1-2
STUDY-0504,3-10
STUDY-0074,3-10
STUDY-0055,3-10
STUDY-0722,1-2
STUDY-0947,3-10
STUDY-0245,11+
STUDY-0551,3-10
STUDY-0379,3-10
STUDY-0887,3-10
STUDY-0695,11+
STUDY-0762,3-10
STUDY-0823,3-10
STUDY-0536,3-10
STUDY-0910,3-10
STUDY-0650,11+
STUDY-0273,11+
STUDY-0961,3-10
STUDY-0712,3-10
STUDY-0609,3-10
STUDY-0976,3-10
STUDY-0282,3-10
STUDY-0867,3-10
STUDY-0794,3-10
STUDY-0031,3-10
STUDY-0829,3-10
STUDY-0875,3-10
STUDY-0443,11+
STUDY-0269,11+
STUDY-0241,3-10
STUDY-0336,3-10
STUDY-0812,3-10
STUDY-0567,11+
