rank_p0,rank_kappa,rank_dis_assessed,rank_move,rank_move_denom,variable,label,task,domain,n_both,n_applic_dispute,p0,p0_lo,p0_hi,dis_pct_assessed,kappa,kappa_lo_boot,kappa_hi_boot,kappa_n_free_marginal,AC1,q_used,modal_category,modal_share,PI_modal,BI_modal,worst_option,worst_p_pos,worst_option_n_pos
1,13,1,12,0,causal_err_disc,Errors qualitatively mentioned in the discussion,Causal,Mentioning errors,224,5,0.295,0.237,0.357,71.179,0.141,0.08,0.2,,0.271,26,none of the above,0.375,-0.25,-0.054,random error,0.049,40
2,10,2,8,0,descriptive_val_outcome,Validated outcome measurement?,Descriptive,Measurement bias,81,5,0.333,0.235,0.432,68.605,0.072,-0.059,0.213,0.111,0.129,4,"yes, the authors conducted content/face validity or cited the content/face validity from other studies",0.395,-0.21,-0.198,"yes, the authors conducted criterion validity or cited the criterion validity from other studies",0.133,14
3,15,4,12,1,descriptive_err_disc,Errors qualitatively mentioned in the discussion,Descriptive,Mentioning errors,81,5,0.407,0.309,0.519,61.628,0.202,0.091,0.323,,0.365,12,none of the above,0.438,-0.123,-0.012,random error,0,11
3,6,4,3,1,descriptive_miss_outcome,Any participant with a missing outcome?,Descriptive,Missing data,81,5,0.407,0.309,0.519,61.628,0.033,-0.14,0.205,0.111,0.158,3,no,0.463,-0.074,-0.235,yes,0.222,16
5,14,6,9,1,causal_val_outcome,Validated outcome measurement?,Causal,Measurement bias,224,5,0.42,0.357,0.487,58.952,0.189,0.109,0.27,0.226,0.238,4,"yes, the authors conducted content/face validity or cited the content/face validity from other studies",0.388,-0.223,-0.027,"yes, the authors conducted criterion validity or cited the criterion validity from other studies",0.139,67
6,9,7,3,1,causal_miss_outcome,Any participant with a missing outcome?,Causal,Missing data,224,5,0.442,0.379,0.509,56.769,0.06,-0.047,0.166,0.163,0.215,3,no,0.516,0.031,-0.183,yes,0.261,40
7,5,3,-2,-4,causal_ltfu_bias,Loss-to-follow-up bias present?,Causal,Selection bias,68,25,0.471,0.353,0.588,65.591,0.026,-0.172,0.241,0.206,0.274,3,not reported or unknown,0.581,0.162,0.044,yes,0.182,10
8,11,8,3,0,causal_miss_exposure,Any participant with a missing exposure?,Causal,Missing data,224,5,0.487,0.424,0.554,52.402,0.074,-0.024,0.175,0.23,0.303,3,no,0.605,0.21,-0.246,yes,0.294,29
9,16,10,7,1,causal_val_exposure,Validated exposure measurement?,Causal,Measurement bias,224,5,0.496,0.429,0.562,51.528,0.206,0.126,0.295,0.327,0.36,4,"this type of objective measurement does not usually require validation (e.g., surgical intervention)",0.54,0.08,0.045,no,0.187,68
10,4,9,-6,-1,descriptive_confl_task,Investigated an association beyond describing the sample?,Descriptive,Conflating the task,81,5,0.506,0.395,0.617,52.326,0.012,-0.206,0.23,0.012,0.014,2,yes,0.519,0.037,0.025,no,0.487,59
