round,col,variable,status
1,3,recusal,direct
1,4,task,direct
1,5,descriptive_design,direct
1,6,descriptive_pop,direct
1,7,NA_outcome_freetext,dropped
1,8,descriptive_sampling,direct
1,9,descriptive_sample_size,direct
1,10,descriptive_acc_sampl,direct
1,11,descriptive_sample_ach,direct
1,12,descriptive_base_sel,direct
1,13,descriptive_outcome_type,direct
1,14,descriptive_val_outcome,changed
1,15,descriptive_out_bias_acc,direct
1,16,descriptive_miss_outcome,direct
1,17,descriptive_hand_miss_outcom,direct
1,18,NA_complete_case_desc,dropped
1,19,descriptive_err_disc,changed
1,20,descriptive_confl_task,direct
1,21,predictive_design,direct
1,22,predictive_pop,direct
1,23,causal_design,direct
1,24,causal_pop,direct
1,25,NA_exposure_freetext,dropped
1,26,NA_outcome_freetext_causal,dropped
1,27,causal_sampling,direct
1,28,causal_sample_size,direct
1,29,causal_acc_sampl,direct
1,30,causal_sample_ach,direct
1,31,NA_selective_invitation,dropped
1,32,causal_base_sel,confirm
1,33,causal_comp_dis,direct
1,34,causal_ltfu_bias,direct
1,35,causal_ltfu_acc,direct
1,36,causal_exposure_type,direct
1,37,causal_val_exposure,changed
1,38,causal_diff_or_nondiff_exp,direct
1,39,causal_exp_bias_acc,direct
1,40,causal_outcome_type,direct
1,41,causal_val_outcome,changed
1,42,causal_diff_or_nondiff_out,direct
1,43,causal_out_bias_acc,direct
1,44,causal_dep_or_indep_misc,direct
1,45,NA_confounders_present,dropped
1,46,causal_conf_var_det,direct
1,47,causal_base_conf_meth,direct
1,48,NA_baseline_confounding_present,dropped
1,49,causal_tv_conf_meth,direct
1,50,causal_time_verying,confirm
1,51,causal_miss_exposure,direct
1,52,causal_hand_miss_exposure,direct
1,53,causal_miss_outcome,direct
1,54,causal_hand_miss_outcom,direct
1,55,NA_miss_confounder,dropped
1,56,NA_hand_miss_confounder,dropped
1,57,NA_complete_case_causal,dropped
1,58,causal_err_disc,changed
1,59,NA_causal_confl_task,dropped
2,3,recusal,direct
2,4,task,direct
2,5,descriptive_design,direct
2,6,descriptive_pop,direct
2,7,descriptive_sampling,direct
2,8,descriptive_sample_size,direct
2,9,descriptive_acc_sampl,direct
2,10,descriptive_sample_ach,direct
2,11,descriptive_base_sel,direct
2,12,descriptive_outcome_type,direct
2,13,descriptive_val_outcome,direct
2,14,descriptive_out_bias_acc,direct
2,15,descriptive_miss_outcome,direct
2,16,descriptive_hand_miss_outcom,direct
2,17,descriptive_err_disc,direct
2,18,descriptive_confl_task,direct
2,19,predictive_design,direct
2,20,predictive_pop,direct
2,21,causal_design,direct
2,22,causal_pop,direct
2,23,causal_sampling,direct
2,24,causal_sample_size,direct
2,25,causal_acc_sampl,direct
2,26,causal_sample_ach,direct
2,27,NA_selective_invitation,dropped
2,28,causal_base_sel,confirm
2,29,causal_comp_dis,direct
2,30,causal_ltfu_bias,direct
2,31,causal_ltfu_acc,direct
2,32,causal_exposure_type,direct
2,33,causal_val_exposure,direct
2,34,causal_diff_or_nondiff_exp,direct
2,35,causal_exp_bias_acc,direct
2,36,causal_outcome_type,direct
2,37,causal_val_outcome,direct
2,38,causal_diff_or_nondiff_out,direct
2,39,causal_out_bias_acc,direct
2,40,causal_dep_or_indep_misc,direct
2,41,causal_base_conf_meth,direct
2,42,NA_baseline_confounding_present,dropped
2,43,causal_tv_conf_meth,direct
2,44,causal_time_verying,confirm
2,45,causal_conf_var_det,direct
2,46,causal_miss_exposure,direct
2,47,causal_hand_miss_exposure,direct
2,48,causal_miss_outcome,direct
2,49,causal_hand_miss_outcom,direct
2,50,causal_err_disc,direct
