axis,domain,baseline,median,lo,hi,param_source,shift,interval_contains_baseline
VAL,Conflating task,0.641975308641975,0.506172839506173,0.160493827160494,0.703703703703704,imputed (max),-0.135802469135802,TRUE
VAL,Confounding bias,0.877729257641921,0.676855895196507,0.209606986899563,0.869104803493449,imputed (max),-0.200873362445415,FALSE
VAL,Measurement bias,0.996774193548387,0.993548387096774,0.97741935483871,1,measured,-0.00322580645161297,TRUE
VAL,Mentioning errors,0,0,0,0,not applicable,0,TRUE
VAL,Missing data,0.203225806451613,0.287096774193548,0.129032258064516,0.642016129032258,imputed (max),0.0838709677419355,TRUE
VAL,Random error,0.302040816326531,0.310204081632653,0.302040816326531,0.33469387755102,measured,0.00816326530612244,TRUE
VAL,Selection bias,0.767741935483871,0.609677419354839,0.203225806451613,0.835483870967742,measured,-0.158064516129032,TRUE
REP,Conflating task,0,0,0,0,not applicable,0,TRUE
REP,Confounding bias,0,0,0,0,not applicable,0,TRUE
REP,Measurement bias,0,0,0,0,not applicable,0,TRUE
REP,Mentioning errors,0.316129032258064,0.309677419354839,0.0258064516129032,0.664516129032258,measured,-0.00645161290322577,TRUE
REP,Missing data,0.325806451612903,0.429032258064516,0.180645161290323,0.703225806451613,measured,0.103225806451613,TRUE
REP,Random error,0.583673469387755,0.579591836734694,0.559183673469388,0.583673469387755,measured,-0.00408163265306127,TRUE
REP,Selection bias,0.0645161290322581,0.190322580645161,0.0548387096774194,0.493629032258064,measured,0.125806451612903,TRUE
