base,display,tool_order,round,value,reviewer
task,Study task,1,1st,1,R1
task,Study task,1,1st,0.8,R2
task,Study task,1,1st,1,R3
task,Study task,1,1st,1,R4
task,Study task,1,1st,1,R5
task,Study task,1,1st,1,R6
task,Study task,1,1st,1,R7
task,Study task,1,1st,0.9,R8
task,Study task,1,1st,1,R9
task,Study task,1,1st,1,R10
task,Study task,1,1st,1,R11
task,Study task,1,1st,1,R12
task,Study task,1,1st,1,R13
task,Study task,1,2nd,1,R1
task,Study task,1,2nd,1,R2
task,Study task,1,2nd,1,R3
task,Study task,1,2nd,1,R4
task,Study task,1,2nd,1,R5
task,Study task,1,2nd,1,R6
task,Study task,1,2nd,1,R7
task,Study task,1,2nd,1,R8
task,Study task,1,2nd,1,R9
task,Study task,1,2nd,1,R10
task,Study task,1,2nd,1,R11
task,Study task,1,2nd,1,R12
task,Study task,1,2nd,1,R13
design,Study design,2,1st,0.8,R1
design,Study design,2,1st,0.75,R2
design,Study design,2,1st,0.6,R3
design,Study design,2,1st,0.8,R4
design,Study design,2,1st,0.6,R5
design,Study design,2,1st,0.7,R6
design,Study design,2,1st,0.8,R7
design,Study design,2,1st,0.555555555555556,R8
design,Study design,2,1st,0.6,R9
design,Study design,2,1st,0.8,R10
design,Study design,2,1st,0.6,R11
design,Study design,2,1st,0.8,R12
design,Study design,2,1st,0.6,R13
design,Study design,2,2nd,1,R1
design,Study design,2,2nd,1,R2
design,Study design,2,2nd,1,R3
design,Study design,2,2nd,0.666666666666667,R4
design,Study design,2,2nd,1,R5
design,Study design,2,2nd,1,R6
design,Study design,2,2nd,1,R7
design,Study design,2,2nd,1,R8
design,Study design,2,2nd,1,R9
design,Study design,2,2nd,0.666666666666667,R10
design,Study design,2,2nd,1,R11
design,Study design,2,2nd,1,R12
design,Study design,2,2nd,1,R13
pop,Population from Saudi,3,1st,1,R1
pop,Population from Saudi,3,1st,1,R2
pop,Population from Saudi,3,1st,1,R3
pop,Population from Saudi,3,1st,1,R4
pop,Population from Saudi,3,1st,1,R5
pop,Population from Saudi,3,1st,1,R6
pop,Population from Saudi,3,1st,1,R7
pop,Population from Saudi,3,1st,1,R8
pop,Population from Saudi,3,1st,1,R9
pop,Population from Saudi,3,1st,1,R10
pop,Population from Saudi,3,1st,1,R11
pop,Population from Saudi,3,1st,1,R12
pop,Population from Saudi,3,1st,1,R13
pop,Population from Saudi,3,2nd,1,R1
pop,Population from Saudi,3,2nd,1,R2
pop,Population from Saudi,3,2nd,0.666666666666667,R3
pop,Population from Saudi,3,2nd,1,R4
pop,Population from Saudi,3,2nd,1,R5
pop,Population from Saudi,3,2nd,1,R6
pop,Population from Saudi,3,2nd,1,R7
pop,Population from Saudi,3,2nd,1,R8
pop,Population from Saudi,3,2nd,1,R9
pop,Population from Saudi,3,2nd,0.333333333333333,R10
pop,Population from Saudi,3,2nd,0.666666666666667,R11
pop,Population from Saudi,3,2nd,1,R12
pop,Population from Saudi,3,2nd,1,R13
sampling,Sampling type,4,1st,0.5,R1
sampling,Sampling type,4,1st,0.375,R2
sampling,Sampling type,4,1st,0.4,R3
sampling,Sampling type,4,1st,0.8,R4
sampling,Sampling type,4,1st,0.4,R5
sampling,Sampling type,4,1st,0.6,R6
sampling,Sampling type,4,1st,0.6,R7
sampling,Sampling type,4,1st,0.777777777777778,R8
sampling,Sampling type,4,1st,0.6,R9
sampling,Sampling type,4,1st,0.8,R10
sampling,Sampling type,4,1st,0.6,R11
sampling,Sampling type,4,1st,0.9,R12
sampling,Sampling type,4,1st,0.6,R13
sampling,Sampling type,4,2nd,0.666666666666667,R1
sampling,Sampling type,4,2nd,0.666666666666667,R2
sampling,Sampling type,4,2nd,0.333333333333333,R3
sampling,Sampling type,4,2nd,0.333333333333333,R4
sampling,Sampling type,4,2nd,0.666666666666667,R5
sampling,Sampling type,4,2nd,0.666666666666667,R6
sampling,Sampling type,4,2nd,0.666666666666667,R7
sampling,Sampling type,4,2nd,0.333333333333333,R8
sampling,Sampling type,4,2nd,0.333333333333333,R9
sampling,Sampling type,4,2nd,0.666666666666667,R10
sampling,Sampling type,4,2nd,1,R11
sampling,Sampling type,4,2nd,0.666666666666667,R12
sampling,Sampling type,4,2nd,0.666666666666667,R13
sample_size,Sample size calculation was done,5,1st,0.8,R1
sample_size,Sample size calculation was done,5,1st,0.75,R2
sample_size,Sample size calculation was done,5,1st,0.6,R3
sample_size,Sample size calculation was done,5,1st,0.8,R4
sample_size,Sample size calculation was done,5,1st,0.7,R5
sample_size,Sample size calculation was done,5,1st,0.7,R6
sample_size,Sample size calculation was done,5,1st,0.8,R7
sample_size,Sample size calculation was done,5,1st,0.888888888888889,R8
sample_size,Sample size calculation was done,5,1st,0.8,R9
sample_size,Sample size calculation was done,5,1st,0.9,R10
sample_size,Sample size calculation was done,5,1st,0.8,R11
sample_size,Sample size calculation was done,5,1st,0.8,R12
sample_size,Sample size calculation was done,5,1st,1,R13
sample_size,Sample size calculation was done,5,2nd,1,R1
sample_size,Sample size calculation was done,5,2nd,0.666666666666667,R2
sample_size,Sample size calculation was done,5,2nd,0.666666666666667,R3
sample_size,Sample size calculation was done,5,2nd,0.666666666666667,R4
sample_size,Sample size calculation was done,5,2nd,0.666666666666667,R5
sample_size,Sample size calculation was done,5,2nd,1,R6
sample_size,Sample size calculation was done,5,2nd,1,R7
sample_size,Sample size calculation was done,5,2nd,0.333333333333333,R8
sample_size,Sample size calculation was done,5,2nd,0.666666666666667,R9
sample_size,Sample size calculation was done,5,2nd,0.666666666666667,R10
sample_size,Sample size calculation was done,5,2nd,1,R11
sample_size,Sample size calculation was done,5,2nd,0.666666666666667,R12
sample_size,Sample size calculation was done,5,2nd,0.666666666666667,R13
acc_sampl,Accounting for other issues in calculation of sample size,6,1st,0.5,R1
acc_sampl,Accounting for other issues in calculation of sample size,6,1st,0.75,R2
acc_sampl,Accounting for other issues in calculation of sample size,6,1st,0.6,R3
acc_sampl,Accounting for other issues in calculation of sample size,6,1st,0.8,R4
acc_sampl,Accounting for other issues in calculation of sample size,6,1st,0.7,R5
acc_sampl,Accounting for other issues in calculation of sample size,6,1st,0.6,R6
acc_sampl,Accounting for other issues in calculation of sample size,6,1st,0.7,R7
acc_sampl,Accounting for other issues in calculation of sample size,6,1st,0.888888888888889,R8
acc_sampl,Accounting for other issues in calculation of sample size,6,1st,0.7,R9
acc_sampl,Accounting for other issues in calculation of sample size,6,1st,0.9,R10
acc_sampl,Accounting for other issues in calculation of sample size,6,1st,0.8,R11
acc_sampl,Accounting for other issues in calculation of sample size,6,1st,0.8,R12
acc_sampl,Accounting for other issues in calculation of sample size,6,1st,0.8,R13
acc_sampl,Accounting for other issues in calculation of sample size,6,2nd,1,R1
acc_sampl,Accounting for other issues in calculation of sample size,6,2nd,1,R2
acc_sampl,Accounting for other issues in calculation of sample size,6,2nd,0.333333333333333,R3
acc_sampl,Accounting for other issues in calculation of sample size,6,2nd,0.666666666666667,R4
acc_sampl,Accounting for other issues in calculation of sample size,6,2nd,0.666666666666667,R5
acc_sampl,Accounting for other issues in calculation of sample size,6,2nd,1,R6
acc_sampl,Accounting for other issues in calculation of sample size,6,2nd,0.666666666666667,R7
acc_sampl,Accounting for other issues in calculation of sample size,6,2nd,0.333333333333333,R8
acc_sampl,Accounting for other issues in calculation of sample size,6,2nd,0.333333333333333,R9
acc_sampl,Accounting for other issues in calculation of sample size,6,2nd,0.333333333333333,R10
acc_sampl,Accounting for other issues in calculation of sample size,6,2nd,1,R11
acc_sampl,Accounting for other issues in calculation of sample size,6,2nd,0.666666666666667,R12
acc_sampl,Accounting for other issues in calculation of sample size,6,2nd,0.666666666666667,R13
sample_ach,Achieving sample size calculated,7,1st,0.7,R1
sample_ach,Achieving sample size calculated,7,1st,0.875,R2
sample_ach,Achieving sample size calculated,7,1st,0.6,R3
sample_ach,Achieving sample size calculated,7,1st,0.8,R4
sample_ach,Achieving sample size calculated,7,1st,0.7,R5
sample_ach,Achieving sample size calculated,7,1st,0.6,R6
sample_ach,Achieving sample size calculated,7,1st,0.8,R7
sample_ach,Achieving sample size calculated,7,1st,0.888888888888889,R8
sample_ach,Achieving sample size calculated,7,1st,0.8,R9
sample_ach,Achieving sample size calculated,7,1st,0.9,R10
sample_ach,Achieving sample size calculated,7,1st,0.8,R11
sample_ach,Achieving sample size calculated,7,1st,0.8,R12
sample_ach,Achieving sample size calculated,7,1st,0.9,R13
sample_ach,Achieving sample size calculated,7,2nd,1,R1
sample_ach,Achieving sample size calculated,7,2nd,0.666666666666667,R2
sample_ach,Achieving sample size calculated,7,2nd,0.666666666666667,R3
sample_ach,Achieving sample size calculated,7,2nd,0.666666666666667,R4
sample_ach,Achieving sample size calculated,7,2nd,0.666666666666667,R5
sample_ach,Achieving sample size calculated,7,2nd,1,R6
sample_ach,Achieving sample size calculated,7,2nd,1,R7
sample_ach,Achieving sample size calculated,7,2nd,0.333333333333333,R8
sample_ach,Achieving sample size calculated,7,2nd,0.666666666666667,R9
sample_ach,Achieving sample size calculated,7,2nd,0.666666666666667,R10
sample_ach,Achieving sample size calculated,7,2nd,1,R11
sample_ach,Achieving sample size calculated,7,2nd,0.666666666666667,R12
sample_ach,Achieving sample size calculated,7,2nd,0.666666666666667,R13
base_sel,Accounting for baseline selection bias,8,1st,0.7,R1
base_sel,Accounting for baseline selection bias,8,1st,0.5,R2
