concept,label,domain,dom_ord,conc_ord,n_items,tasks,n_by_task,n_both,n_applic_dispute,n_agree,q_used,p0,p0_lo,p0_hi,dis_pct_assessed,kappa,kappa_lo_boot,kappa_hi_boot,kappa_n_free_marginal,AC1,modal_category,modal_share,PI_modal,BI_modal,any_multiselect,any_ordinal,rank_p0,below_min_n
tv_conf_meth,Time-varying confounding method(s) used,Confounding,8,25,1,C,C:1,1,21,0,2,0,NA,NA,100,0,NA,NA,NA,-1,randomization;regression;stratification,0.5,0,1,TRUE,FALSE,1,TRUE
err_disc,Errors qualitatively mentioned in the discussion,Mentioning errors,10,31,2,D+C,D:81 C:224,305,10,99,27,0.325,0.272,0.377,68.571,0.162,0.11,0.217,NA,0.303,none of the above,0.392,-0.216,-0.043,TRUE,FALSE,2,FALSE
val_outcome,Validated outcome measurement?,Measurement bias,7,15,2,D+C,D:81 C:224,305,10,121,4,0.397,0.341,0.452,61.587,0.159,0.089,0.233,0.196,0.208,"yes, the authors conducted content/face validity or cited the content/face validity from other studies",0.39,-0.22,-0.072,FALSE,TRUE,3,FALSE
hand_miss_exposure,Method for handling missing exposure data,Missing data,9,30,1,C,C:5,5,24,2,4,0.4,0,0.8,93.103,0.211,0,0.667,0.2,0.231,no,0.4,-0.2,0.4,FALSE,FALSE,4,TRUE
miss_outcome,Any participant with a missing outcome?,Missing data,9,27,2,D+C,D:81 C:224,305,10,132,3,0.433,0.38,0.489,58.095,0.053,-0.036,0.142,0.149,0.2,no,0.502,0.003,-0.197,FALSE,FALSE,5,FALSE
ltfu_bias,Loss-to-follow-up bias present?,Selection bias,6,12,1,C,C:68,68,25,32,3,0.471,0.353,0.588,65.591,0.026,-0.17,0.234,0.206,0.274,not reported or unknown,0.581,0.162,0.044,FALSE,FALSE,6,FALSE
miss_exposure,Any participant with a missing exposure?,Missing data,9,29,1,C,C:224,224,5,109,3,0.487,0.42,0.549,52.402,0.074,-0.025,0.177,0.23,0.303,no,0.605,0.21,-0.246,FALSE,FALSE,7,FALSE
val_exposure,Validated exposure measurement?,Measurement bias,7,19,1,C,C:224,224,5,111,4,0.496,0.433,0.562,51.528,0.206,0.126,0.294,0.327,0.36,"this type of objective measurement does not usually require validation (e.g., surgical intervention)",0.54,0.08,0.045,FALSE,TRUE,8,FALSE
confl_task,Investigated an association beyond describing the sample?,Conflating the task,11,32,1,D,D:81,81,5,41,2,0.506,0.395,0.617,52.326,0.012,-0.202,0.24,0.012,0.014,yes,0.519,0.037,0.025,FALSE,FALSE,9,FALSE
conf_var_det,How confounding variables were selected,Confounding,8,26,1,C,C:224,224,5,114,11,0.509,0.442,0.576,50.218,0.254,0.173,0.337,NA,0.474,no adjustment for baseline and time-varying confounding was done,0.529,0.058,-0.067,TRUE,FALSE,10,FALSE
