stratifier,level,task,index,n,observed,corrected,lo,hi,shift,interval_contains_observed
Saudi data used,Yes,Causal,validity,142,0.473142117249408,0.482675113940648,0.399050851684447,0.553097777268759,0.00953299669124025,TRUE
Saudi data used,Yes,Descriptive,validity,58,0.431862342638205,0.480145046524357,0.392986111111111,0.572712438423645,0.0482827038861521,TRUE
Saudi data used,No,Causal,validity,87,0.504715317925257,0.510689703940611,0.419940408808943,0.580348196354255,0.00597438601535438,TRUE
Saudi data used,No,Descriptive,validity,23,0.430779848171153,0.500707384403037,0.397119996549344,0.609271911663216,0.069927536231884,TRUE
Saudi data used,Yes,Causal,transparency,142,0.853440395936471,0.838671580506491,0.785239034419773,0.880178467561088,-0.0147688154299805,TRUE
Saudi data used,Yes,Descriptive,transparency,58,0.847229064039409,0.834725643130816,0.765187978927203,0.896196633825944,-0.0125034209085934,TRUE
Saudi data used,No,Causal,transparency,87,0.831218790402627,0.823798799718918,0.770744248760089,0.866770990349944,-0.00741999068370902,TRUE
Saudi data used,No,Descriptive,transparency,23,0.79696342305038,0.811456176673568,0.740577984817115,0.880193236714976,0.0144927536231884,TRUE
Saudi data used,Yes,Causal,acknowledgement,142,0.307746478873239,0.30868544600939,0.274178403755869,0.343192488262911,0.00093896713615027,TRUE
Saudi data used,Yes,Descriptive,acknowledgement,58,0.33764367816092,0.321637426900585,0.272988505747126,0.359660870927318,-0.0160062512603348,TRUE
Saudi data used,No,Causal,acknowledgement,87,0.313409961685824,0.304789272030651,0.262835249042146,0.341954022988506,-0.00862068965517243,TRUE
Saudi data used,No,Descriptive,acknowledgement,23,0.369565217391304,0.36231884057971,0.287878787878788,0.424242424242424,-0.00724637681159418,TRUE
Number of authors,1-2,Causal,validity,28,0.463737455938086,0.47498715540995,0.392883689096268,0.551786969376912,0.0112496994718633,TRUE
Number of authors,1-2,Descriptive,validity,11,0.385858585858586,0.445707070707071,0.32852904040404,0.558337842712843,0.0598484848484849,TRUE
Number of authors,3-10,Causal,validity,156,0.477502169880564,0.487631590496112,0.402114908054176,0.557622778848275,0.0101294206155483,TRUE
Number of authors,3-10,Descriptive,validity,53,0.436028751123091,0.491501946690626,0.400379043126685,0.589129791853849,0.0554731955675352,TRUE
Number of authors,11+,Causal,validity,45,0.524920578695088,0.523988792616244,0.427244224366773,0.595212958578993,-0.00093178607884481,TRUE
Number of authors,11+,Descriptive,validity,17,0.447175536881419,0.495915032679739,0.389704715219421,0.604031862745098,0.0487394957983194,TRUE
Number of authors,1-2,Causal,transparency,28,0.847032274448241,0.838220560660161,0.786958548643817,0.879490341809801,-0.00881171378807932,TRUE
Number of authors,1-2,Descriptive,transparency,11,0.833333333333333,0.839393939393939,0.763924963924964,0.906926406926407,0.0060606060606061,TRUE
Number of authors,3-10,Causal,transparency,156,0.845045671667338,0.833744209315774,0.779317754959388,0.875086033163812,-0.0113014623515635,TRUE
