index,task,n_groups,observed_spread,corrected_spread,lo,hi
validity,Causal,25,0.0811336262995613,0.0744215035959949,0.047443732156218,0.105479231997408
validity,Descriptive,25,0.091064491064491,0.125498087946005,0.0738116343759727,0.20023158884766
validity,Both (standardised),25,0.0750111290661665,0.0694893879428831,0.0425672032867614,0.101623423889532
validity,Both (crude pooling),50,0.139835793413493,0.141398459021008,0.0895206035515548,0.21536543417775
transparency,Causal,25,0.0457958266726023,0.0372409128351048,0.0224215969462038,0.0573437360600999
transparency,Descriptive,25,0.0668949408079843,0.0770660221159171,0.0465859622865727,0.122249038860558
transparency,Both (standardised),25,0.0349991516635875,0.0355556443880365,0.0223206795801942,0.0536940185193968
transparency,Both (crude pooling),50,0.0701146273754217,0.0823087823583744,0.0525646785779317,0.124777076721177
acknowledgement,Causal,25,0.150186567164179,0.163037630993966,0.121985815602837,0.224303191489362
acknowledgement,Descriptive,25,0.254261363636364,0.23371268910999,0.167708333333333,0.302592329545454
acknowledgement,Both (standardised),25,0.126185947588361,0.136769603138997,0.106353783093638,0.18002779094643
acknowledgement,Both (crude pooling),50,0.301136363636364,0.278030303030303,0.206781225296443,0.35001329787234
